year,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_A,gompertz_B,gompertz_r2,pareto_alpha,pareto_beta,pareto_r2,body_sse_logF,tail_sse_logF,joint_sse
1976,1123.4336622312137,2.4936271739920333,2801.4247083171417,0.9242971508666001,148396,137162,11234,0.9242971508666001,0.07570284913339982,1.5271796258079011,0.35672985745647523,0.9922553833365028,1.6422472501202725,29.742372878080428,0.9852048609885025,0.6670911066597338,9.887051665534736,10.55414277219447
1977,2803.2700499960256,5.2596309514596715,14744.165920258996,0.9908451358014503,193886,192111,1775,0.9908451358014503,0.009154864198549663,1.5271796258079011,0.7970132817631183,0.9361285063880301,0.5269356577666734,2.5711606630333934,0.16273714847769505,2.7275492152580374,80.44505156936536,83.1726007846234
1978,1866.039568598247,6.608013268612508,12330.814229053176,0.990338789528912,216329,214239,2090,0.990338789528912,0.00966121047108802,1.5271796258079011,0.5289254023318375,0.9437048813154848,0.7944998713950246,5.155073487172359,0.21035547848463332,1.9432218737422886,62.07740333727534,64.02062521101763
1979,1520.2830793853295,7.08685479894331,10774.025436894237,0.9906576958761985,171371,169770,1601,0.9906576958761985,0.009342304123801578,1.5271796258079011,0.4738201992727571,0.9616687401771792,0.6835951615031554,4.476956060832561,-0.8651719576868664,1.648053555063585,8.042827954041588,9.690881509105173
1981,338.6739752811485,7.610101923138315,2577.3434706039666,0.9886911846301764,472198,466858,5340,0.9886911846301764,0.011308815369823675,1.5271796258079011,0.3253848978678313,0.9863468532045738,3.185851108332957,946.4569607998234,0.9806988896297413,0.8994772904361544,4.874310763035329,5.773788053471483
1982,810.2245411619291,6.874479998567863,5569.872402566506,0.9839348304285818,206845,203522,3323,0.9839348304285818,0.016065169571418212,1.5271796258079011,0.30492925705480556,0.994895556521049,2.8638421796875813,440.10946237925015,0.9966713450143609,0.9495280629970491,0.94650763802859,1.896035701025639
1983,201.27922208498336,7.384609200896767,1486.368395358112,0.9876629171218542,499794,493628,6166,0.9876629171218542,0.012337082878145797,1.5271796258079011,0.3186628917311831,0.9899592908058304,2.8085786502600603,425.49541814697534,0.993755350827362,0.8395085020668832,2.5600931954718984,3.3996016975387815
1984,173.89547517905243,7.931441972284887,1379.2418706255612,0.9890666190957563,504510,498994,5516,0.9890666190957563,0.010933380904243721,1.5271796258079011,0.32937985653179513,0.9783921535656139,3.376162601927257,1524.2887667104512,0.9930567233009273,1.1709334487068697,1.8218236027531838,2.992757051460053
1985,190.0018310308094,9.256870223434346,1758.8222920671035,0.9924105831714115,514137,510235,3902,0.9924105831714115,0.007589416828588489,1.5271796258079011,0.3459845560155578,0.9570335348785937,3.0857046109484743,1157.5100632304998,0.9818699336128996,1.9318375290288536,7.155911803854365,9.087749332883218
1986,283.0933300464876,3.893991821761571,1102.363111996272,0.9580209895052474,284142,272214,11928,0.9580209895052474,0.041979010494752625,1.5271796258079011,0.31347982373727135,0.9953938193095324,2.1409408541493558,71.4587087478081,0.9875572243192116,0.5857151278520726,7.33587180434837,7.921586932200443
1987,226.79551598299238,7.581753565751928,1719.5077120006008,0.9877073970917417,292615,289018,3597,0.9877073970917417,0.012292602908258291,1.5271796258079011,0.3195656403323178,0.9923744378186529,2.699372289413353,356.58229489158174,0.9851442243212495,0.6255145462242708,4.2759061507795595,4.9014206970038305
1988,248.49461461924582,8.380548344611311,2082.521131192146,0.9887650923755235,289633,286379,3254,0.9887650923755235,0.011234907624476492,1.5271796258079011,0.31064194640503745,0.9896564977144003,2.678261327588269,417.6526465339984,0.9928128489750827,1.1427516523491021,2.205186831493129,3.3479384838422312
1989,2353.9170185794796,10.121653642130013,23825.532764376814,0.9895963635722969,113518,112337,1181,0.9895963635722969,0.010403636427703096,1.5271796258079011,0.32079943760030294,0.9567930586978787,2.1448815514477384,171.36618534212408,0.9905573695626814,2.8899333509183243,2.1485643496068683,5.038497700525193
1990,2620.227696943567,8.696314997869298,22786.32541876287,0.9881995691631557,115589,114225,1364,0.9881995691631557,0.011800430836844336,1.5271796258079011,0.3042820433359422,0.9898034080261717,2.2396250178783106,176.03893219995726,0.9921134373293696,1.7585327029961704,3.0905359614200782,4.849068664416249
1992,319.2575000347547,5.041922419714018,1609.6715470870784,0.9761955338413744,75322,73529,1793,0.9761955338413744,0.023804466158625633,1.5271796258079011,0.3176893807495723,0.9981207671519572,2.2456109162365685,95.68381634003822,0.9947831637310618,0.5092335120072279,1.878718210365389,2.387951722372617
