year,population_share,income_share
1976,0.0,0.0
1976,0.001,9.90890758224779e-06
1976,0.002,2.6982023278656062e-05
1976,0.003,4.901027328202861e-05
1976,0.004,7.204824164854879e-05
1976,0.005,9.865300843517402e-05
1976,0.006,0.000131074156049924
1976,0.007,0.000166507780146585
1976,0.008,0.0002042944369979053
1976,0.009000000000000001,0.0002485864671187284
1976,0.01,0.0002928784972395514
1976,0.011,0.00033717052736037436
1976,0.012,0.0003814625574811974
1976,0.013000000000000001,0.00042575458760202523
1976,0.014,0.00047004661772285464
1976,0.015,0.000514338647843684
1976,0.016,0.0005586306779645136
1976,0.017,0.0006092402828605972
1976,0.018000000000000002,0.0006623907190055821
1976,0.019,0.0007155411551505671
1976,0.02,0.0007697010231257147
1976,0.021,0.0008298838144560372
1976,0.022,0.0008960537125183342
1976,0.023,0.0009624917576995589
1976,0.024,0.0010289298028807838
1976,0.025,0.0010953678480620087
1976,0.026000000000000002,0.0011618058932432336
1976,0.027,0.0012282439384244583
1976,0.028,0.001294681983605683
1976,0.029,0.001361120028786908
1976,0.03,0.0014298527256270052
1976,0.031,0.0015007420010435875
1976,0.032,0.0015777310861664483
1976,0.033,0.0016574567403839387
1976,0.034,0.0017390755419143607
1976,0.035,0.0018276596021559938
1976,0.036000000000000004,0.0019162436623976267
1976,0.037,0.0020048277226392595
1976,0.038,0.002093411782880893
1976,0.039,0.0021819958431225257
1976,0.04,0.002270579903364159
1976,0.041,0.002359163963605792
1976,0.042,0.0024477480238474254
1976,0.043000000000000003,0.0025363320840890583
1976,0.044,0.0026249161443306908
1976,0.045,0.002713500204572324
1976,0.046,0.002802084264813957
1976,0.047,0.0028906683250555904
1976,0.048,0.0029792523852972233
1976,0.049,0.0030678364455388567
1976,0.05,0.0031564205057804896
1976,0.051000000000000004,0.003245004566022123
1976,0.052000000000000005,0.0033335886262637563
1976,0.053,0.003422172686505389
1976,0.054,0.0035107567467470217
1976,0.055,0.003599340806988655
1976,0.056,0.003691988621297119
1976,0.057,0.003789431087562895
1976,0.058,0.0038908206173371624
1976,0.059000000000000004,0.003997121298605195
1976,0.06,0.0041034221708952144
1976,0.061,0.004212443793271277
1976,0.062,0.00432317386857337
1976,0.063,0.0044339039438754625
1976,0.064,0.004544634019177558
1976,0.065,0.00465536409447965
1976,0.066,0.004766094169781743
1976,0.067,0.004876824245083836
1976,0.068,0.00498755432038593
1976,0.069,0.0050989745820168375
1976,0.07,0.005215316405839891
1976,0.07100000000000001,0.005337940823536214
1976,0.07200000000000001,0.005461958507874521
1976,0.073,0.005591107401039372
1976,0.074,0.005723983491401821
1976,0.075,0.00585685958176427
1976,0.076,0.005989735672126723
1976,0.077,0.006122611762489172
1976,0.078,0.006255487852851621
1976,0.079,0.006388363943214146
1976,0.08,0.0065212400335767
1976,0.081,0.006654116123939254
1976,0.082,0.006786992214301807
1976,0.083,0.006919868304664359
1976,0.084,0.007052744395026914
1976,0.085,0.0071856204853894675
1976,0.08600000000000001,0.00731849657575202
1976,0.08700000000000001,0.007451372666114574
1976,0.088,0.007584248756477126
1976,0.089,0.007717124846839679
1976,0.09,0.007850000937202232
1976,0.091,0.007982877027564783
1976,0.092,0.008115753117927338
1976,0.093,0.008248629208289893
1976,0.094,0.008381505298652444
1976,0.095,0.008514381389014997
1976,0.096,0.008647257479377552
1976,0.097,0.008780133569740105
1976,0.098,0.008913009660102658
1976,0.099,0.009045885750465213
1976,0.1,0.009178761840827764
1976,0.101,0.009312586952316
1976,0.10200000000000001,0.00945324683061831
1976,0.10300000000000001,0.009594981327005007
1976,0.10400000000000001,0.009737426496828993
1976,0.105,0.009882211244296042
1976,0.106,0.010027046182791054
1976,0.107,0.010172254557338297
1976,0.108,0.010321427497783971
1976,0.109,0.01047555163270802
1976,0.11,0.010630573738130825
1976,0.111,0.01078559584355363
1976,0.112,0.010940617948976435
1976,0.113,0.011095640054399242
1976,0.114,0.01125066215982205
1976,0.115,0.011405684265244855
1976,0.116,0.011560959307660615
1976,0.117,0.011720087120354961
1976,0.11800000000000001,0.011879538428789943
1976,0.11900000000000001,0.012038989737224923
1976,0.12,0.012198787392406131
1976,0.121,0.012359124541443549
1976,0.122,0.012520899942801703
1976,0.123,0.012684452254591711
1976,0.124,0.012850811944940444
1976,0.125,0.013019121659399774
1976,0.126,0.013187431373859105
1976,0.127,0.013355741088318435
1976,0.128,0.013524326519142956
1976,0.129,0.013694173244291612
1976,0.13,0.013864254639955399
1976,0.131,0.014034336035619186
1976,0.132,0.014204417431282973
1976,0.133,0.01437449882694676
1976,0.134,0.014544580222610546
1976,0.135,0.014714661618274333
1976,0.136,0.01488474301393812
1976,0.137,0.015054824409601906
1976,0.138,0.015224905805265691
1976,0.139,0.015394987200929477
1976,0.14,0.015565068596593266
1976,0.14100000000000001,0.01573514999225705
1976,0.14200000000000002,0.015905231387920837
1976,0.14300000000000002,0.016075312783584622
1976,0.14400000000000002,0.01624539417924841
1976,0.145,0.016415475574912193
1976,0.146,0.01658555697057598
1976,0.147,0.01675606644652011
1976,0.148,0.01692815371634892
1976,0.149,0.017104868923693096
1976,0.15,0.017282037044176364
1976,0.151,0.017459205164659628
1976,0.152,0.017636373285142896
1976,0.153,0.017813541405626163
1976,0.154,0.017990709526109427
1976,0.155,0.01816787764659269
1976,0.156,0.01834504576707596
1976,0.157,0.018522213887559223
1976,0.158,0.01869938200804249
1976,0.159,0.01887655012852576
1976,0.16,0.019053718249009026
1976,0.161,0.01923088636949229
1976,0.162,0.019408054489975558
1976,0.163,0.019585222610458822
1976,0.164,0.019762390730942093
1976,0.165,0.019939558851425357
1976,0.166,0.02011672697190862
1976,0.167,0.02029389509239189
1976,0.168,0.020471063212875153
1976,0.169,0.02064823133335842
1976,0.17,0.020825399453841688
1976,0.171,0.021002567574324955
1976,0.17200000000000001,0.02117973569480822
1976,0.17300000000000001,0.021356903815291487
1976,0.17400000000000002,0.021534071935774755
1976,0.17500000000000002,0.02171124005625802
1976,0.176,0.021888408176741283
1976,0.177,0.022065576297224547
1976,0.178,0.02224352459927184
1976,0.179,0.02242704207581414
1976,0.18,0.02261306860232176
1976,0.181,0.022802013467286476
1976,0.182,0.02299472182362689
1976,0.183,0.023192372635189765
1976,0.184,0.023391686770733493
1976,0.185,0.023591000906277217
1976,0.186,0.023790315041820945
1976,0.187,0.023989629177364673
1976,0.188,0.024188943312908398
1976,0.189,0.024388257448452126
1976,0.19,0.02458757158399585
1976,0.191,0.024788095605070868
1976,0.192,0.02499183894362677
1976,0.193,0.025195762642758097
1976,0.194,0.02540102972791412
1976,0.195,0.025608798186339335
1976,0.196,0.025821190642451395
1976,0.197,0.02603379238703165
1976,0.198,0.0262463941316119
1976,0.199,0.026458995876192153
1976,0.2,0.026672221426959557
1976,0.201,0.02688908103976536
1976,0.202,0.027109834898498834
1976,0.203,0.027331295049102602
1976,0.20400000000000001,0.02755275519970637
1976,0.20500000000000002,0.02777421535031014
1976,0.20600000000000002,0.02799567550091392
1976,0.20700000000000002,0.028217135651517688
