year,layer,mean_income_usd_current_date,exponential_intercept,exponential_alpha,exponential_r2,gompertz_A_fixed,gompertz_B_fixed,gompertz_B_fixed_bootstrap_se,gompertz_A_free,gompertz_A_free_bootstrap_se,gompertz_B_free,gompertz_B_free_bootstrap_se,gompertz_x_gmax,gompertz_free_r2,gompertz_free_correlation_coefficient,gompertz_population_pct,pareto_x_pmin,transition_x_t,transition_delta_x_t,pareto_alpha_ls,pareto_alpha_ls_bootstrap_se,pareto_beta_ls,pareto_beta_ls_bootstrap_se,pareto_ls_r2,pareto_ls_correlation_coefficient,pareto_alpha_mle,pareto_alpha_mle_fisher_se,pareto_alpha_mle_likelihood_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_continuity,pareto_beta_mle_likelihood_se,pareto_beta_mle_bootstrap_se,pareto_mle_r2,pareto_population_pct,pareto_supported,gompertz_income_share_pct,pareto_income_share_pct,gini
1978,refined,382.70946936333206,4.415849406520494,0.9574934205131002,0.8929096430450928,1.5271796258079011,0.4989634954211045,0.024322919950309746,1.5267294032027052,0.008007475660642902,0.4988186256394963,0.02638488732469139,5.932210450585064,0.9770039640726004,0.9884351086806864,99.69583366076672,77.77124454992553,41.85172750025529,35.91951704967023,6.248532620568889,4.129451503457959,489412446674.9851,4.4942359126117815e+53,0.4306223613391668,0.6562182269178195,0.8631547721328956,0.0336492763724383,0.008347333966289032,0.0045170455737266885,25.106701108268474,0.7825772756817623,0.4242749061251123,-0.49508192927134287,0.3041663392332974,False,59.077025620961365,40.922974379038635,0.768253550064633
1979,refined,348.838265715958,4.429009289005845,0.8429132986359619,0.9003272127268801,1.5271796258079011,0.5102815543167669,0.05002338609586257,1.557840581430473,0.018370844226579194,0.5187213617369253,0.05555993633353513,6.935027877303481,0.9199004301882712,0.959114398905715,98.97999078023705,6.935027877303481,6.935027877303481,0.0,0.9539471829935032,0.3488255177171259,6.392110916618058,7.790783720177381,0.3534494791526539,0.5945161723222119,0.9131417615095891,0.0218407471495032,0.005207011573633549,0.022579470052847574,6.700259092173232,0.06756421261104092,0.29373634689235595,0.2491163657450407,1.0200092197629704,False,59.800922330517665,40.199077669482335,0.7288355532326778
1981,refined,97.24296774377645,4.523676721579541,0.7272225872341823,0.941435183747279,1.5271796258079011,0.3362212793378943,0.01879874263567517,1.5426976258399587,0.005356568811870695,0.3402385293521328,0.01936496093698337,7.371242712382564,0.97385992315513,0.9868434136959774,98.79690299408298,7.371242712382564,7.371242712382564,0.0,3.2614364447545965,0.13726997657812265,1210.2487513530125,580.4427735867147,0.9791595269776886,0.9895248996249102,2.5583351172475197,0.0339425946423994,0.03394558188945815,0.032896147163922446,243.90447582527037,16.53897461546706,16.197362106953705,0.8597807241263933,1.2030970059170094,False,85.84720476113166,14.152795238868336,0.5884866557212263
1982,refined,244.13310723398158,4.5043550856523265,0.6954317697438213,0.9309497509768927,1.5271796258079011,0.3280447219242505,0.014328711662934871,1.536240201198786,0.004610768854526819,0.3302483095104128,0.015272896499915015,7.849559609203476,0.9834688894091989,0.9916999997021271,98.76235828760666,7.849559609203476,7.849559609203476,0.0,2.875419105934236,0.04075159019273494,455.2882006757643,56.81107475573701,0.9963078235845512,0.9981522046183894,2.8848761334133064,0.0570173709315364,0.057028506049511825,0.05578732104608809,541.7818676264862,63.66197486535458,63.64337736402374,0.9910185019330612,1.237641712393338,True,85.17953980734302,14.82046019265698,0.5898439323148535
1983,refined,62.32458268558594,4.487115324639986,0.692998336695378,0.9360851213801408,1.5271796258079011,0.3768244213191261,0.04389191659840066,1.5665094261996255,0.017696199684460193,0.3862457931569002,0.04692471451010617,7.96710960176985,0.9021977557546706,0.9498409107606761,98.96437332180858,7.96710960176985,7.96710960176985,0.0,2.776827850093007,0.058000727789324955,385.84190169478046,84.35427738229497,0.9947365799996454,0.9973648179074923,2.485291809431156,0.0345446068783388,0.03454794371552518,0.032495471186894935,218.44929341007548,15.662399198066165,14.818061357583323,0.9386967726368185,1.035626678191415,True,86.46612531340745,13.533874686592554,0.5984475364063784
1984,refined,56.15153919883118,4.5095902455306,0.701594226346219,0.9366643997816677,1.5271796258079011,0.3482762211658424,0.025939523670732084,1.5489594592064022,0.00835624678275171,0.3535904213867211,0.02673166169252921,7.82329475179977,0.9567285726361447,0.9781250291430768,98.88783175754692,7.82329475179977,7.82329475179977,0.0,3.3576735676892517,0.0680839433240348,1523.663129205975,464.30880906169557,0.995345554408696,0.9976700629009051,2.664553489915974,0.0355716744163777,0.035574844091111356,0.03264186611476085,324.80344071925725,23.769511319082614,21.851323274755224,0.8566287181159283,1.1121682424530732,True,86.46456768297374,13.535432317026263,0.5907641612178143
1985,refined,63.34468599817367,4.513317086849439,0.7067441256113571,0.9354399087722729,1.5271796258079011,0.3371839256732198,0.018025050066511644,1.5411616906465446,0.0055310544444350665,0.3406375005349402,0.019574571034729697,7.72788415290446,0.9741618891160012,0.9869963977218971,98.82657735195096,7.72788415290446,7.72788415290446,0.0,2.845655510465797,0.08592776194869961,532.3840611677135,277.3016894878277,0.9884408834827724,0.9942036428633584,2.4328090674592624,0.0313214142296279,0.03132400996282826,0.030526417341891685,203.32090234939665,13.023198930661227,12.74735037016857,0.8968263462294367,1.1734226480490608,True,84.87907535586164,15.120924644138356,0.6020969269730102
1986,refined,96.039309130723,4.50175462772775,0.7356766271754425,0.9403332153659704,1.5271796258079011,0.3394058346564101,0.015751188332500565,1.5454510365523644,0.005733808357470793,0.3442358578517293,0.016336865535174997,7.218092203968127,0.9807205808105148,0.9903133750538335,98.74956887753306,7.218092203968127,7.218092203968127,0.0,2.1326803653865243,0.050261993703203126,67.86447408669837,10.508838028847888,0.9754860241505304,0.9876669601391607,2.3455771802487635,0.0393506693501023,0.03935620662859007,0.04064637767157919,153.49949062927152,11.940895949970953,12.44232380532129,0.9677904296933191,1.2504311224669356,False,84.22080517992408,15.779194820075915,0.5930790055734168
1987,refined,80.22774437320022,4.454344800738818,0.6920908944437183,0.9319314081652332,1.5271796258079011,0.3382154084691118,0.017752059996064013,1.5434750934624677,0.008509576811484712,0.3422215782551637,0.01924164464006608,7.763947684149914,0.9769873470223168,0.9884267029083729,98.81790065444356,7.763947684149914,7.763947684149914,0.0,2.665443345041113,0.05591933663682319,325.8939709105412,64.61058672673262,0.9889923196717456,0.9944809297677586,2.384758946219901,0.0405479783254118,0.04055383913031636,0.04030869618855635,185.0902512345535,15.38372539698497,15.524817994365653,0.939798815270559,1.182099345556448,True,84.53158264435757,15.46841735564243,0.6046304992949822
1988,refined,91.58231158087649,4.462260875408551,0.6524803943125211,0.9198953891987233,1.5271796258079011,0.3385303236124596,0.025589039152813874,1.541946388671655,0.01052489172354373,0.3418336942446066,0.02693848409503928,8.533216400084266,0.954390479321699,0.9769291065997056,98.9158693933357,8.533216400084266,8.533216400084266,0.0,2.586288054895858,0.05366254147388431,315.46709804286985,70.21980606797065,0.9948405114166048,0.9974169195560123,2.3587623013401595,0.0420939183249053,0.04210062064455838,0.04031269712827856,203.03216629391005,18.326153223388634,17.6452790413729,0.9448105142077785,1.084130606664296,True,84.28197881971927,15.71802118028073,0.6245229030230508
1989,refined,906.0088728850883,4.354057662064516,0.5768600644471615,0.8903132847583195,1.5271796258079011,0.3275800185270039,0.02416240394627576,1.5299438140996071,0.01423882221077407,0.3281218785877,0.027279967035683833,9.73777265679984,0.947493555627542,0.9733928064391795,98.94289892351874,9.73777265679984,9.73777265679984,0.0,2.128381836883672,0.05296593500700105,158.99037859968124,33.520969445676165,0.9891179393912272,0.9945440861979057,1.9303418859929515,0.055724170375302,0.055747383944478895,0.05535520406984204,97.8176051620286,12.411267727112271,12.66476799718323,0.9573749282133136,1.057101076481263,True,79.49838606417381,20.501613935826185,0.6849621476811574
1990,refined,1070.7340584371595,4.415117609643123,0.6314830616068335,0.9087317443996332,1.5271796258079011,0.3139379776104158,0.013381097920112217,1.5235920352618275,0.0066159189162336785,0.3131477373671627,0.014887110315332915,8.665971226618906,0.9814562471406864,0.990684736503337,98.81909178209,8.665971226618906,8.665971226618906,0.0,2.1249824940992976,0.032415772297808884,117.3916280711946,15.669703664566317,0.997370189614886,0.998684229181019,2.0432345604047604,0.0553034086664976,0.05532366261648683,0.05058722408149834,111.64879743652094,13.338250699863785,12.395493790840197,0.9677900893751529,1.1809082179100088,True,80.65472827104087,19.345271728959133,0.6608834465792127
1992,refined,138.92961631256023,4.539962511376374,0.7439748384057161,0.943786020277011,1.5271796258079011,0.3634917570211073,0.02235618742189524,1.5518884750231396,0.005313378530900389,0.3698095738271282,0.02315292882933987,7.465068963129983,0.9691598830568527,0.9844591830324164,98.86221820981918,7.465068963129983,7.465068963129983,0.0,2.2158432186449795,0.039557931374365723,87.83843088367628,11.132307387407433,0.9949571247325956,0.9974753755018695,2.385813881756108,0.0814978497141377,0.0815453841887254,0.08467226988097316,164.2502638201749,26.924783364812935,28.862581307329503,0.9890179694502839,1.1377817901808236,True,85.3053392507661,14.694660749233904,0.585684044253634
1993,refined,159.48849024220473,4.503800345821409,0.6919067645846211,0.925323993764481,1.5271796258079011,0.3367266379026451,0.013315471303154044,1.5378937279822094,0.004509094511553244,0.3392542185742204,0.014839656276400328,8.09189309790807,0.9845093495709673,0.9922244451589405,98.8153818115546,8.09189309790807,8.09189309790807,0.0,2.2247184517105785,0.044599626400658704,113.98906162573168,17.63261152352691,0.994233691028353,0.9971126771976941,2.30854639052865,0.0765275676624627,0.07656960423122867,0.07406935480757461,168.8108151264237,27.02602574215508,27.13953965299856,0.987049726439471,1.1846181884454163,True,83.22863737287796,16.771362627122045,0.6097346922973377
1995,refined,267.49627117232905,4.426044320827941,0.6592162112295993,0.9227102133716218,1.5271796258079011,0.3663782471275534,0.03625236218499138,1.5638883942401107,0.021474208806890976,0.3747107840889911,0.040679842957713465,8.407876016545897,0.9228167475707852,0.9606335136620965,98.96043576587311,8.407876016545897,8.407876016545897,0.0,2.81498264520965,0.0833673123773054,528.5096506593684,192.1617833217215,0.987033751215114,0.9934957227965876,2.354246696428253,0.0805135382001125,0.08056060838138893,0.07240738936236332,185.7015978628109,31.852864147491648,30.068387921082362,0.8868724295627749,1.0395642341268876,True,85.36588839148008,14.634111608519916,0.6078148953935558
