year,exp_intercept,exp_lambda,exp_r2,x_max
1978,4.415849406520494,0.9574934205131,0.8929096430450928,5.932210450585064
1979,4.429009289005845,0.8429132986359619,0.9003272127268801,6.935027877303481
1981,4.523676721579541,0.7272225872341823,0.941435183747279,7.371242712382564
1982,4.5043550856523265,0.6954317697438209,0.9309497509768927,7.849559609203476
1983,4.487115324639985,0.6929983366953777,0.9360851213801408,7.96710960176985
1984,4.5095902455306,0.701594226346219,0.9366643997816677,7.82329475179977
1985,4.51331708684944,0.7067441256113571,0.9354399087722729,7.72788415290446
1986,4.50175462772775,0.7356766271754425,0.9403332153659704,7.218092203968127
1987,4.454344800738818,0.6920908944437181,0.9319314081652332,7.763947684149914
1988,4.462260875408552,0.6524803943125215,0.9198953891987233,8.533216400084266
1989,4.354057662064516,0.5768600644471612,0.8903132847583195,9.73777265679984
1990,4.415117609643123,0.6314830616068335,0.9087317443996332,8.665971226618906
1992,4.539962511376375,0.7439748384057159,0.943786020277011,7.465068963129983
1993,4.503800345821409,0.6919067645846211,0.925323993764481,8.09189309790807
1995,4.42604432082794,0.6592162112295984,0.9227102133716218,8.407876016545897
1996,4.4451665192654435,0.674470365309169,0.9283125319924007,8.124437179052151
1997,4.452208872355474,0.6911606173962623,0.9289918978978741,7.79009107647884
1998,4.4421847945295765,0.6701056708026957,0.922332647344724,8.15287296793561
1999,4.439717696783055,0.6709351932121187,0.9252206171132624,8.176655455951684
2001,4.433204820630289,0.656787083091404,0.9199470820408249,8.53395522561751
2002,4.4557119664556355,0.6739796346090862,0.9261998967025238,8.319232469818342
2003,4.474188489184395,0.6936683445219083,0.9295754945171553,7.988967241340482
2004,4.430745071824688,0.6745305181156122,0.9247685183254097,8.29192947397243
2005,4.45561586613606,0.7137449190113453,0.9296511881138207,7.475625354864691
2006,4.446191925912404,0.688771221456532,0.926740370352372,8.137758270021328
2007,4.467691829411378,0.7221700444209763,0.9317780065301551,7.561989889673862
2008,4.457669055744747,0.7255458108256723,0.9325187389120475,7.583022241382891
2009,4.478786736741683,0.7323375881302685,0.936161862915839,7.5750694401889955
2011,4.502632804431515,0.7690223627497832,0.9408716115292356,7.023829110994125
2012,4.515692004486766,0.7982997785219393,0.9470687981639181,6.78783390498434
2013,4.514542900276559,0.783326470242208,0.9443349219913655,6.874046452162832
2014,4.518230353230429,0.7872462861112987,0.9461444730862356,6.934216319838362
2015,4.49840891783353,0.7900163301207695,0.9433277680122808,6.731204508147656
2016,4.536147022756744,0.8553765226863373,0.9534182319650255,6.291988037056107
2017,4.524450586561757,0.8310132989823661,0.951201576892114,6.584126780086462
2018,4.510994979881259,0.8037704256460909,0.9460433360328423,6.904001551784726
2019,4.502444493484333,0.7859755535795617,0.9382293719722454,7.071965865410624
2020,4.4994170029366245,0.7994151686204098,0.9406972439553888,6.772846876962111
2021,4.538859320377091,0.8359165513393356,0.9471903087764102,6.418770551983073
2022,4.513732757482372,0.7991619680953433,0.9420211485053326,6.97099909126432
2023,4.497285572005315,0.7797488242721242,0.9382303101782193,7.250082108139716
2024,4.517207933979168,0.8134591547869627,0.9426016672919268,6.673786621279553
2025,4.532030025691367,0.8455465503697422,0.9527241802462518,6.285762219142245
