year,gompertz_A,gompertz_B,gompertz_B_bootstrap_se,gompertz_boundary_A_free,gompertz_A_free_bootstrap_se,gompertz_boundary_B_free,gompertz_B_free_bootstrap_se,gompertz_x_gmax,transition_x_t,gompertz_r2,gompertz_population_pct,gompertz_income_share_pct,bootstrap_reps
1978,1.5271796258079011,0.3345166812704623,0.0207475976624961,1.541422508638642,0.0103325842404645,0.3375395026250344,0.0237197347608684,8.993868302665566,8.993868302665566,0.9635412691599587,98.90771691508844,83.69031619290065,1000.0
1979,1.5271796258079011,0.3504352468707397,0.0282403929213841,1.5503874653374403,0.0125876425466777,0.3556492372167542,0.0306922616840474,8.496751702535459,8.496751702535459,0.9444229764654892,98.93037170607762,85.50010344032488,1000.0
1981,1.5271796258079011,0.3362212793378943,0.0187987426356751,1.5426976258399587,0.0053565688118706,0.3402385293521328,0.0193649609369833,7.371242712382564,7.371242712382564,0.9732063787839208,98.79690299408298,85.84720476113166,1000.0
1982,1.5271796258079011,0.3280447219242505,0.0143287116629348,1.536240201198786,0.0046107688545268,0.3302483095104128,0.015272896499915,7.849559609203476,7.849559609203476,0.9832186731289422,98.76235828760666,85.17953980734302,1000.0
1983,1.5271796258079011,0.3768244213191261,0.0438919165984006,1.5665094261996255,0.0176961996844601,0.3862457931569002,0.0469247145101061,7.96710960176985,7.96710960176985,0.8997679377878144,98.96437332180858,86.46612531340745,1000.0
1984,1.5271796258079011,0.3482762211658424,0.025939523670732,1.5489594592064022,0.0083562467827517,0.3535904213867211,0.0267316616925292,7.82329475179977,7.82329475179977,0.9556580773170398,98.88783175754692,86.46456768297374,1000.0
1985,1.5271796258079011,0.349843471450015,0.0306861026799438,1.5539837082640355,0.0086855412734308,0.3575214970581143,0.0335733183468509,6.663262356510411,,0.9358109621952204,,,1000.0
1986,1.5271796258079011,0.3394058346564101,0.0157511883325005,1.5454510365523644,0.0057338083574707,0.3442358578517293,0.0163368655351749,7.218092203968127,7.218092203968127,0.9799474628998306,98.74956887753306,84.22080517992408,1000.0
1987,1.5271796258079011,0.3382154084691118,0.017752059996064,1.5434750934624677,0.0085095768114847,0.3422215782551637,0.019241644640066,7.763947684149914,7.763947684149914,0.9764005817682612,98.81790065444356,84.53158264435757,1000.0
1988,1.5271796258079011,0.3385303236124596,0.0255890391528138,1.541946388671655,0.0105248917235437,0.3418336942446066,0.0269384840950392,8.533216400084266,8.533216400084266,0.9539490016797696,98.9158693933357,84.28197881971927,1000.0
1989,1.5271796258079011,0.3228554859365816,0.0156404311542123,1.5327679579538147,0.0079697506895161,0.3241679229008194,0.0170465692979049,8.126905888820493,8.126905888820493,0.9768886059099884,98.81614552014432,82.47726022395128,1000.0
1990,1.5271796258079011,0.2948018445031635,0.0080732428354937,1.5276822970195392,0.0032746192422439,0.2949369650656492,0.0087816601910707,7.100868092971827,7.100868092971827,0.991652154093754,98.43876953722229,86.43585532361122,1000.0
1992,1.5271796258079011,0.3634917570211073,0.0223561874218952,1.5518884750231396,0.0053133785309003,0.3698095738271282,0.0231529288293398,7.465068963129983,7.465068963129983,0.9677989654206934,98.86221820981918,85.3053392507661,1000.0
1993,1.5271796258079011,0.3367266379026451,0.013315471303154,1.5378937279822094,0.0045090945115532,0.3392542185742204,0.0148396562764003,8.09189309790807,8.09189309790807,0.98423346944362,98.8153818115546,83.22863737287796,1000.0
1995,1.5271796258079011,0.3663782471275534,0.0362523621849913,1.5638883942401107,0.0214742088068909,0.3747107840889911,0.0406798429577134,8.407876016545897,8.407876016545897,0.9209250863920564,98.96043576587311,85.36588839148008,1000.0
1996,1.5271796258079011,0.3527479416740316,0.0260921662837146,1.5561043976656594,0.0141043782862741,0.3595423521420449,0.0298196463354193,8.124437179052151,8.124437179052151,0.9510004964964944,98.91312411899992,85.43391765590395,1000.0
1997,1.5271796258079011,0.3365142005533588,0.0160683986934809,1.542527641031932,0.0077819116144084,0.3402746256320457,0.0173115468443933,7.79009107647884,7.79009107647884,0.979425529307422,98.80426486574,84.06610600916461,1000.0
1998,1.5271796258079011,0.3350272577784648,0.0166570156380805,1.5426548530677415,0.008620164805843,0.338650015834246,0.0184459263055441,8.15287296793561,8.15287296793561,0.9768001935261788,98.84310799954092,84.27008722170103,1000.0
1999,1.5271796258079011,0.355624053165173,0.0286251432907146,1.558145460215847,0.0164919838662914,0.3628508957227123,0.0329644048012664,8.176655455951684,8.176655455951684,0.9417000132779724,98.9288717744434,85.45847800549845,1000.0
2001,1.5271796258079011,0.3778216558111698,0.0446684475551029,1.570973831809025,0.0242160261832604,0.3876160716148116,0.0485536446303695,8.53395522561751,8.53395522561751,0.8915725196010461,98.9782796519922,85.48947805531292,1000.0
2002,1.5271796258079011,0.3866069122417521,0.0468856206720723,1.580604480321054,0.0236599601230174,0.3988150638093655,0.0518749954762929,8.35044854642999,8.35044854642999,0.886170119828606,98.9785266197719,86.22433666402861,1000.0
2003,1.5271796258079011,0.3544394478402731,0.0225302588363728,1.555611301108145,0.01016170545498,0.3612296875252678,0.0243424776730397,7.988967241340482,7.988967241340482,0.9644034364791616,98.88763904511936,85.74923484000576,1000.0
2004,1.5271796258079011,0.387799547861654,0.0382693968596449,1.5886829114632903,0.0235169359439619,0.4019418270837376,0.0429693089122844,8.29192947397243,8.29192947397243,0.9141478628535272,98.96618782908617,86.13984885395026,1000.0
2005,1.5271796258079011,0.3381727004558373,0.0120204566821405,1.5477201590388352,0.0063112061331236,0.3434116097002069,0.0129914225802071,7.475625354864691,7.475625354864691,0.9869226798909324,98.73370807338316,84.48891766310027,1000.0
2006,1.5271796258079011,0.3451485097992876,0.0156089024289745,1.5524467445906045,0.0082770761398689,0.3516518810433491,0.0169426788833068,7.4087306824125,7.4087306824125,0.980958542733764,98.78761054266796,85.1660852034998,1000.0
2007,1.5271796258079011,0.3595890647490278,0.0188530512632336,1.561571717812681,0.0098378586763936,0.3682625679823327,0.0203480443638672,7.561989889673862,7.561989889673862,0.9740630412779392,98.84385405534309,85.69564613046532,1000.0
2008,1.5271796258079011,0.3852288347581362,0.0321494194338395,1.5781042212894432,0.0194061893034349,0.3980154222336966,0.0359153198354716,7.59694880336684,7.59694880336684,0.9374780051020492,98.93681840257848,86.5400107920966,1000.0
2009,1.5271796258079011,0.3981916110315373,0.0393270003924782,1.5911220471341934,0.021217256440159,0.4142882375461025,0.0436584529683634,7.5750694401889955,7.5750694401889955,0.9197631504177224,98.95268584017488,86.84711182857939,1000.0
2011,1.5271796258079011,0.3692195806817286,0.018718381632211,1.5676632031998554,0.0092043490224044,0.3801974922234482,0.0207326087248644,7.032932641135984,7.032932641135984,0.9735523616119302,98.81605957893731,86.42663314642412,1000.0
2012,1.5271796258079011,0.3928566106695398,0.029892451118422,1.5811247020872976,0.0139308681014122,0.4078523349829396,0.0322977047199915,6.86123801280913,6.86123801280913,0.94985369969595,98.88821452218052,87.09340740185641,1000.0
2013,1.5271796258079011,0.3706790116630506,0.0172020091015244,1.5668512251190387,0.0077424848322959,0.3816868014217772,0.0185942671251822,6.874046452162832,6.874046452162832,0.978434903252736,98.77829218106996,86.60743269827107,1000.0
2014,1.5271796258079011,0.3902272996421039,0.0264546045217278,1.5777645691434676,0.0118825716275232,0.4041110970588775,0.0284509984198125,6.950485514934318,6.950485514934318,0.95833591044898,98.87865683923036,87.5090624958359,1000.0
2015,1.5271796258079011,0.3729318281017747,0.0180052245264427,1.5679315138635412,0.0103253867054109,0.3844688645344464,0.0195874885465482,6.738138721209536,6.738138721209536,0.9769102441385404,98.78371324169132,86.99796958004725,1000.0
2016,1.5271796258079011,0.3986868701141158,0.0256776013692305,1.583969666961819,0.0144784125817025,0.4149683724083424,0.0288091826157968,6.6528101920850125,6.6528101920850125,0.9589320833601154,98.861460890742,87.73230595213154,1000.0
2017,1.5271796258079011,0.3730754701028994,0.0141377200122768,1.5657029593607232,0.0049167832809729,0.3843033080233181,0.0142889992550593,6.5435217482552686,6.5435217482552686,0.984185737613352,98.71163633980646,86.41433881559492,1000.0
2018,1.5271796258079011,0.3793202964514156,0.0189003139143402,1.5695618480860805,0.0094697317855644,0.3910827620417514,0.0201331263418859,6.873563688447632,6.873563688447632,0.9752323908568036,98.80523039107044,86.77876966835125,1000.0
