year,gdp_growth_pct
1978,4.96989768924738
1979,6.7595601220408
1980,9.19999999999976
1981,-4.24999999999956
1982,0.829999999999529
1983,-2.92999999999996
1984,5.39999999999988
1985,7.85000000000042
1986,7.48999999999982
1987,3.52999999999983
1988,-0.059999999999917
1989,3.16000000000032
1990,-4.35000000000022
1991,1.03218958549303
1992,-0.54407204977727
1993,4.9246900037071
1994,5.85287036219013
1995,4.22379363350413
1996,2.20886405039022
1997,3.39484598630671
1998,0.338097901207306
1999,0.467937566477133
2000,4.38794944745618
2001,1.38989640095637
2002,3.05346185909312
2003,1.14082899824888
2004,5.75996463670954
2005,3.20213206130431
2006,3.96198871122617
2007,6.06987060678338
2008,5.09419544658736
2009,-0.125812002161169
2010,7.52822581815364
2011,3.97442307944702
2012,1.92117598576537
2013,3.00482266944432
2014,0.503955740242247
2015,-3.54576339269425
2016,-3.27591690782192
2017,1.32286905404399
2018,1.783666761634
2019,1.22077782360842
2020,-3.2767587964736
2021,4.76260437908608
2022,3.01669435393015
2023,3.24165532906981
2024,3.41931516501906
2025,2.2857464902475
