year,gompertz_A,gompertz_A_bootstrap_se,gompertz_B,gompertz_B_bootstrap_se,gompertz_x_gmax,correlation_coefficient,gompertz_population_pct
1978,1.541422508638642,0.009945505146923439,0.3375395026250344,0.022613961647563272,8.993868302665566,0.9817795499295605,98.90771691508844
1979,1.557840581430473,0.017991173660379545,0.5187213617369253,0.05442650799611652,6.935027877303481,0.959114398905715,98.97999078023705
1981,1.5426976258399587,0.005564202531611444,0.3402385293521328,0.020029580234962187,7.371242712382564,0.9868434136959774,98.79690299408298
1982,1.536240201198786,0.0046321926079863655,0.3302483095104128,0.015283035303383359,7.849559609203476,0.9916999997021271,98.76235828760666
1983,1.5665094261996255,0.017628818611494453,0.3862457931569002,0.04755497153664274,7.96710960176985,0.9498409107606761,98.96437332180858
1984,1.5489594592064022,0.008503252044184163,0.3535904213867211,0.02767266449111611,7.82329475179977,0.9781250291430768,98.88783175754692
1985,1.5411616906465446,0.005433135307742582,0.3406375005349402,0.019166008135448,7.72788415290446,0.9869963977218971,98.82657735195096
1986,1.5454510365523644,0.0058347325923592645,0.3442358578517293,0.016997494433973945,7.218092203968127,0.9903133750538335,98.74956887753306
1987,1.5434750934624677,0.00863583871618504,0.3422215782551637,0.019553009864607642,7.763947684149914,0.9884267029083729,98.81790065444356
1988,1.541946388671655,0.010119872436558297,0.3418336942446066,0.027672761211004822,8.533216400084266,0.9769291065997056,98.9158693933357
1989,1.5299438140996071,0.01376346758804775,0.3281218785877,0.0268149333850402,9.73777265679984,0.9733928064391795,98.94289892351874
1990,1.5235920352618275,0.006479627742984175,0.3131477373671627,0.014777908389639082,8.665971226618906,0.990684736503337,98.81909178209
1992,1.5518884750231396,0.005406508227705949,0.3698095738271282,0.023403994439123593,7.465068963129983,0.9844591830324164,98.86221820981918
1993,1.5378937279822094,0.004253347029626618,0.3392542185742204,0.014150647607599365,8.09189309790807,0.9922244451589405,98.8153818115546
1995,1.5638883942401107,0.02110090179787128,0.3747107840889911,0.04046148660873071,8.407876016545897,0.9606335136620965,98.96043576587311
1996,1.5561043976656594,0.013822193503768499,0.3595423521420449,0.02890309159050694,8.124437179052151,0.9758985973427269,98.91312411899992
1997,1.542527641031932,0.008007872871425337,0.3402746256320457,0.017736837858901677,7.79009107647884,0.9899185163405976,98.80426486574
1998,1.5426548530677415,0.00893522425550527,0.338650015834246,0.018484573242222545,8.15287296793561,0.9885719122614395,98.84310799954092
1999,1.558145460215847,0.015313716087023768,0.3628508957227123,0.03168186939637083,8.176655455951684,0.9711929484371838,98.9288717744434
2001,1.570973831809025,0.025176250910574852,0.3876160716148116,0.049576107973959976,8.53395522561751,0.9454975678420318,98.9782796519922
2002,1.580604480321054,0.023028827018907978,0.3988150638093655,0.0513936404435369,8.35044854642999,0.9431158351518676,98.9785266197719
2003,1.555611301108145,0.010431409318011549,0.3612296875252678,0.024608090836384086,7.988967241340482,0.9827442886992148,98.88763904511936
2004,1.5886829114632903,0.024346675720763607,0.4019418270837376,0.04294713040031589,8.29192947397243,0.9581800033532449,98.96618782908617
2005,1.5477201590388352,0.006595830413479249,0.3434116097002069,0.01331679709825026,7.475625354864691,0.99384293981407,98.73370807338316
2006,1.5524467445906045,0.008492330779109594,0.3516518810433491,0.017363029883909885,7.4087306824125,0.9910322733691823,98.78761054266796
2007,1.561571717812681,0.010145516161617522,0.3682625679823327,0.020800622918487454,7.561989889673862,0.987927473773563,98.84385405534309
2008,1.5781042212894432,0.01913129756370737,0.3980154222336966,0.036097661225057566,7.59694880336684,0.9700508141025459,98.93681840257848
2009,1.5911220471341934,0.020962155368567884,0.4142882375461025,0.043490012169416385,7.5750694401889955,0.9615749399910576,98.95268584017488
2011,1.5676632031998554,0.00901590206164498,0.3801974922234482,0.02042367442509166,7.032932641135984,0.9881431716980533,98.81605957893731
2012,1.5811247020872976,0.01402304147834101,0.4078523349829396,0.03273811022819046,6.86123801280913,0.9769701146439809,98.88821452218052
2013,1.5668512251190387,0.00778308179263437,0.3816868014217772,0.018475012084360164,6.874046452162832,0.9906535004888598,98.77829218106996
2014,1.5777645691434676,0.01213428648114527,0.4041110970588775,0.028773149591406574,6.950485514934318,0.9811025883361412,98.87865683923036
2015,1.5679315138635412,0.010293718857910627,0.3844688645344464,0.01988482883141561,6.738138721209536,0.9900046735982143,98.78371324169132
2016,1.5824013039344975,0.01729133625076023,0.4207364479641712,0.03822713169787191,5.790470983521455,0.9703366906940987,98.96466635622616
2017,1.5760918264300998,0.011856665965379027,0.4124174251267301,0.026371436704847224,6.057845762362985,0.9837156924618209,98.74915202310872
2018,1.5946655004038048,0.01646852145163926,0.4447736051941564,0.032371425205304755,6.953900774021797,0.978349376756241,99.34077056791428
2019,1.5764677973850234,0.011085636435465895,0.4134796381168938,0.022247844833850887,7.091028465546687,0.9875434413938935,98.84954376928712
2020,1.5693302673435443,0.006355383613667446,0.3830227165532526,0.011745786353124687,6.356300258380844,0.9946546494686975,98.592334284832
2021,1.5872045421674963,0.010289345300806678,0.41865767349271,0.023403339572839653,6.629131636273755,0.9861322605433993,98.83028720626632
2022,1.5731402491841675,0.011870152582835011,0.4028528957029726,0.026478737936281235,6.433713154331938,0.9835812047890367,99.64583576912584
2023,1.585915060130923,0.01686338464749985,0.4266750735206259,0.03401479556817099,6.648120071247216,0.9759958230294401,98.88663716858008
2024,1.5757461654101204,0.007949635872402409,0.403439104436696,0.01616718188985077,6.719783763051317,0.9922377088761011,98.72662844631384
2025,1.5628693446919186,0.0048872424623707875,0.3780904609011103,0.00936156016577108,5.782608258153999,0.995881446161195,99.66841745963193
