year,pareto_x_pmin,transition_x_t,transition_delta_x_t,pareto_alpha_ls,pareto_beta_ls,pareto_alpha_mle,pareto_alpha_mle_fisher_se,pareto_beta_mle_continuity,ls_correlation_coefficient,pareto_population_pct
1978,77.77124454992553,41.85172750025529,35.91951704967023,6.248532620568889,489412446674.9851,0.8631547721328956,0.0336492763724383,25.10670110882347,0.6562182269178195,0.3041663392332974
1979,6.935027877303481,6.935027877303481,0.0,0.9539471829935032,6.392110916618058,0.9131417615095891,0.0218407471495032,6.675670163700872,0.5945161723222119,1.0200092197629704
1981,7.371242712382564,7.371242712382564,0.0,3.2614364447545965,1210.2487513530125,2.5583351172475197,0.0339425946423994,242.58945860896756,0.9895248996249102,1.2030970059170094
1982,7.849559609203476,7.849559609203476,0.0,2.875419105934236,455.2882006757643,2.8848761334133064,0.0570173709315364,540.2255580142732,0.9981522046183894,1.237641712393338
1983,7.96710960176985,7.96710960176985,0.0,2.776827850093007,385.84190169478046,2.485291809431156,0.0345446068783388,216.7021552667113,0.9973648179074923,1.035626678191415
1984,7.82329475179977,7.82329475179977,0.0,3.3576735676892517,1523.663129205975,2.664553489915974,0.0355716744163777,322.8868391535413,0.9976700629009051,1.1121682424530732
1985,7.72788415290446,7.72788415290446,0.0,2.845655510465797,532.3840611677135,2.4328090674592624,0.0313214142296279,202.44968790397985,0.9942036428633584,1.1734226480490608
1986,7.218092203968127,7.218092203968127,0.0,2.1326803653865243,67.86447408669837,2.3455771802487635,0.0393506693501023,152.49885512766778,0.9876669601391607,1.2504311224669356
1987,7.763947684149914,7.763947684149914,0.0,2.665443345041113,325.8939709105412,2.384758946219901,0.0405479783254118,184.1856668358659,0.9944809297677586,1.182099345556448
1988,8.533216400084266,8.533216400084266,0.0,2.586288054895858,315.46709804286985,2.3587623013401595,0.0420939183249053,202.3397087829721,0.9974169195560123,1.084130606664296
1989,9.73777265679984,9.73777265679984,0.0,2.128381836883672,158.99037859968124,1.9303418859929515,0.055724170375302,97.77107512752823,0.9945440861979057,1.057101076481263
1990,8.665971226618906,8.665971226618906,0.0,2.1249824940992976,117.3916280711946,2.0432345604047604,0.0553034086664976,111.75940628859917,0.998684229181019,1.1809082179100088
1992,7.465068963129983,7.465068963129983,0.0,2.2158432186449795,87.83843088367628,2.385813881756108,0.0814978497141377,163.14043780267122,0.9974753755018695,1.1377817901808236
1993,8.09189309790807,8.09189309790807,0.0,2.2247184517105785,113.98906162573168,2.30854639052865,0.0765275676624627,168.3175764737683,0.9971126771976941,1.1846181884454163
