year,layer,paper_table,test,estimator,parameter,estimate,standard_error,fit_metric,fit_value,criterion,passed,evidence_status,paper_2009_value,paper_2009_standard_error,difference_from_2009,relative_difference_pct,within_paper_1se
1978,trusted,table_3,pareto,mle_continuity,beta,366.9184480718776,42.92952071338469,pareto_mle_r2,0.9682430882881736,finite direct MLE on observations x >= x_t,True,supported,10639.0,22543.0,-10272.081551928122,-96.55119420930652,True
1978,trusted,table_3,pareto,population,population_pct,1.092283084911565,,pareto_ls_r2,0.9828084608476996,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,,,,,
1978,trusted,table_3,transition,boundary,x_t,8.993868302665566,,pareto_ls_r2,0.9828084608476996,descriptive reproduction quantity,,descriptive,23.3,16.7,-14.306131697334434,-61.39970685551259,True
1978,trusted,table_4,income_share,gompertz,share_pct,83.69031619290065,,,,descriptive reproduction quantity,,descriptive,57.1,,26.59031619290065,46.567979322067686,
1978,trusted,table_4,income_share,pareto,share_pct,16.309683807099347,,,,descriptive reproduction quantity,,descriptive,31.9,,-15.590316192900652,-48.8724645545475,
1978,trusted,table_4,inequality,lorenz,gini,0.6190917906193394,,,,descriptive reproduction quantity,,descriptive,0.739,,-0.1199082093806606,-16.225738752457456,
1979,refined,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.019573217461391,,delta_r2,0.019573217461391,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1979,refined,table_1,annual_income,descriptive,mean_income_usd,348.838265715958,,,,descriptive reproduction quantity,,descriptive,122.531,,226.307265715958,184.6938862132505,
1979,refined,table_2,gompertz,boundary,x_gmax,6.935027877303481,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,6.92,,0.0150278773034813,0.2171658569867242,
1979,refined,table_2,gompertz,free_lsf,A,1.557840581430473,0.0183708442265791,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,1.54,0.01,0.0178405814304729,1.158479313667075,False
1979,refined,table_2,gompertz,free_lsf,B,0.5187213617369253,0.0555599363335351,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,0.44,0.01,0.0787213617369252,17.89121857657393,False
1979,refined,table_2,gompertz,free_lsf,correlation_coefficient,0.959114398905715,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,0.997,,-0.0378856010942849,-3.799959989396686,
1979,refined,table_2,gompertz,population,population_pct,98.97999078023705,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,98.9,,0.0799907802370398,0.0808804653559553,
