year,gompertz_income_share_pct,pareto_income_share_pct,gini_coefficient,pietra_index,kolkata_index,zanardi_index
1978,83.69031619290065,16.30968380709936,0.6190917906193394,0.4681006147777198,0.7331543871959001,0.0122939941298212
1979,59.80092233051766,40.19907766948235,0.7288355532326778,0.5660761837885986,0.7794482264193848,0.0223407172554235
1981,85.84720476113166,14.152795238868324,0.5884866557212263,0.4418002483560831,0.7205455417456132,0.0088872524645878
1982,85.17953980734302,14.82046019265698,0.5898439323148535,0.4419756074881367,0.7204863199960962,0.0106726723575388
1983,86.46612531340743,13.53387468659256,0.5984475364063784,0.4519279508866025,0.725584219260646,0.0086334237598576
1984,86.46456768297374,13.535432317026268,0.5907641612178143,0.445052614987075,0.7221229118193508,0.0097065466031618
1985,84.87907535586166,15.120924644138354,0.6020969269730102,0.4535555883979185,0.7264272010685632,0.0089108130582969
1986,84.22080517992408,15.779194820075915,0.5930790055734168,0.4446954580492808,0.7219180055486722,0.0097573390576919
1987,84.53158264435757,15.468417355642439,0.6046304992949822,0.4539641921753865,0.7267185094855458,0.007595960877384
1988,84.28197881971926,15.718021180280761,0.6245229030230508,0.4717852816702906,0.7354975364206165,0.0081011844561201
1989,79.49838606417381,20.501613935826178,0.6849621476811574,0.5254684297178701,0.7625572865096437,0.0057469233487601
1990,80.65472827104085,19.345271728959133,0.6608834465792127,0.5014083268909204,0.7506034523945494,0.0042383281363694
1992,85.30533925076611,14.694660749233895,0.585684044253634,0.4343121335082222,0.7167079609202229,0.0082077034174555
1993,83.22863737287796,16.77136262712204,0.6097346922973377,0.4572044035202052,0.7279074113905827,0.0108289724135678
1995,85.36588839148008,14.634111608519909,0.6078148953935558,0.4575850725969405,0.7283326469067329,0.0093506918677575
1996,85.43391765590395,14.56608234409605,0.6093421955328784,0.4579235041438458,0.7286773716283089,0.0068643971372154
1997,84.06610600916463,15.933893990835383,0.6087982134452723,0.4567827176515581,0.7280504056763256,0.0080519143904324
1998,84.27008722170103,15.72991277829898,0.6095628702928875,0.4583750747199591,0.7286678974691543,0.0093934932842666
1999,85.45847800549845,14.541521994501538,0.6040101548852397,0.4540226873128804,0.7264320631362278,0.009678789363287
2001,85.48947805531292,14.510521944687078,0.6045135448171821,0.4520930391603373,0.7255668078822596,0.0095963265743709
2002,86.2243366640286,13.775663335971384,0.5957395428732748,0.4454300518561271,0.7222218077771546,0.0102610122654522
2003,85.74923484000576,14.250765159994238,0.5883019899185813,0.4380738088308902,0.7184705153823643,0.009552595308154
2004,86.13984885395026,13.86015114604974,0.5835216952670556,0.4339363795424506,0.7163725916678823,0.0113160151833517
2005,84.48891766310027,15.51108233689975,0.5795971476217483,0.4306613270045117,0.714600903591925,0.0120297006440194
2006,85.1660852034998,14.833914796500194,0.5710157172380892,0.42327988041732,0.7107741295824812,0.0130293355158119
2007,85.69564613046532,14.304353869534697,0.5668787248530293,0.4180726566379786,0.7082489914938854,0.0122801274866717
2008,86.5400107920966,13.459989207903389,0.5598349140987711,0.4124621131797489,0.7053452328369219,0.0136121758402936
2009,86.84711182857939,13.152888171420607,0.5559048100990898,0.4087625735560034,0.7034998610165881,0.013360278541961
2011,86.42663314642411,13.57336685357587,0.5427476870177501,0.3967568084341216,0.6974423209410953,0.0139340677950192
2012,87.09340740185641,12.906592598143593,0.5352162393011409,0.390541477709794,0.6944853224237814,0.014131259153834
2013,86.60743269827105,13.392567301728922,0.5363271946845327,0.3911144388702102,0.6945425916919185,0.013502955995272
2014,87.5090624958359,12.49093750416408,0.5248901286181102,0.3832161605192427,0.6906854668951766,0.0161443814244015
2015,86.99796958004725,13.002030419952748,0.5229362857855651,0.3812025384546629,0.6896165933534834,0.0158952367870689
2016,89.76676980638007,10.233230193619944,0.479829860093499,0.3495668026734332,0.6727809884659091,0.0220401238084056
2017,87.87119042777911,12.128809572220907,0.4879058579216074,0.3547941261052937,0.6759455846991462,0.0212431093542099
2018,91.57089107421989,8.429108925780106,0.4987194137244376,0.3623394189175321,0.6801890389700744,0.0205968134844141
2019,87.44304122614767,12.556958773852326,0.5028341835458989,0.3648999116117231,0.6812947774604956,0.0207034863394431
2020,87.57982997638443,12.42017002361557,0.4893102733085109,0.3587542494092894,0.6769296172368746,0.0212604649299395
2021,89.31320231046237,10.686797689537643,0.4785899211902097,0.3478012729719164,0.6721805183044606,0.0202893803939944
2022,94.79471246384341,5.205287536156583,0.4917024158171105,0.3591287739448776,0.6782578754340767,0.0229834815932182
2023,88.67594463287679,11.324055367123208,0.4902524339886815,0.3578439328587782,0.6773092629883003,0.0229516293388472
2024,87.47386923849069,12.526130761509288,0.4914033479818049,0.3573193519601795,0.677684347150113,0.0227062304208484
2025,95.41627623637821,4.583723763621797,0.4870224093218259,0.3555173800306903,0.675589200050479,0.0220131185985711
