year,pareto_x_pmin,transition_x_t,transition_delta_x_t,pareto_selection_status,pareto_supported,pareto_alpha_ls,pareto_alpha_ls_bootstrap_se,pareto_beta_ls,pareto_beta_ls_bootstrap_se,pareto_ls_r2,pareto_alpha_mle,pareto_alpha_mle_fisher_se,pareto_alpha_mle_likelihood_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_continuity,pareto_beta_mle_likelihood_se,pareto_beta_mle_bootstrap_se,pareto_mle_r2,pareto_population_pct,pareto_income_share_pct,bootstrap_reps
1978,8.993868302665566,8.993868302665566,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.3329578393575185,0.0746145266079814,164.71250930912157,38.747125575369225,0.9828084608476996,2.5848912011630003,0.0532542932176951,0.0532655938636032,0.0562160211713347,366.9184480718776,42.92952071338469,46.27902273437471,0.9682430882881736,1.092283084911565,16.309683807099347,1000.0
1979,8.496751702535459,8.496751702535459,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.4665779503907044,0.064468200535071,174.95144513105132,36.1986355435549,0.987459137089877,2.668689414039587,0.0624350924640502,0.0624521769061525,0.0623441932074414,381.6991201116799,51.005659412930825,51.55466278329028,0.9794103640231168,1.0696282939223802,14.499896559675122,1000.0
1981,7.371242712382564,7.371242712382564,0.0,fallback_highest_tail_r2,False,3.2614364447545965,0.1372699765781226,1210.2487513530125,580.4427735867147,0.9791595269776886,2.55833511724752,0.0339425946423994,0.0339455818894581,0.0328961471639224,243.9044758252704,16.53897461546706,16.197362106953705,0.8597807241263933,1.2030970059170094,14.152795238868336,1000.0
1982,7.849559609203476,7.849559609203476,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.875419105934236,0.0407515901927349,455.2882006757643,56.81107475573701,0.9963078235845512,2.8848761334133064,0.0570173709315364,0.0570285060495118,0.055787321046088,541.7818676264862,63.66197486535458,63.64337736402374,0.9910185019330612,1.237641712393338,14.82046019265698,1000.0
1983,7.96710960176985,7.96710960176985,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.776827850093007,0.0580007277893249,385.84190169478046,84.35427738229497,0.9947365799996454,2.485291809431156,0.0345446068783388,0.0345479437155251,0.0324954711868949,218.44929341007548,15.662399198066163,14.818061357583325,0.9386967726368184,1.035626678191415,13.533874686592554,1000.0
1984,7.82329475179977,7.82329475179977,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.357673567689252,0.0680839433240348,1523.663129205975,464.3088090616956,0.995345554408696,2.664553489915974,0.0355716744163777,0.0355748440911113,0.0326418661147608,324.80344071925725,23.76951131908261,21.851323274755224,0.8566287181159283,1.1121682424530732,13.535432317026263,1000.0
1985,7.72788415290446,7.72788415290446,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.845655510465797,0.0859277619486996,532.3840611677135,277.3016894878277,0.9884408834827724,2.4328090674592624,0.0313214142296279,0.0313240099628282,0.0305264173418916,203.32090234939665,13.023198930661229,12.74735037016857,0.8968263462294367,1.1734226480490608,15.120924644138356,1000.0
1986,7.218092203968127,7.218092203968127,0.0,fallback_highest_tail_r2,False,2.1326803653865243,0.0502619937032031,67.86447408669837,10.508838028847888,0.9754860241505304,2.3455771802487635,0.0393506693501023,0.03935620662859,0.0406463776715791,153.49949062927152,11.940895949970953,12.44232380532129,0.9677904296933192,1.2504311224669356,15.779194820075915,1000.0
1987,7.763947684149914,7.763947684149914,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.665443345041113,0.0559193366368231,325.8939709105412,64.61058672673262,0.9889923196717456,2.384758946219901,0.0405479783254118,0.0405538391303163,0.0403086961885563,185.0902512345535,15.38372539698497,15.524817994365652,0.939798815270559,1.182099345556448,15.46841735564243,1000.0
1988,8.533216400084266,8.533216400084266,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.586288054895858,0.0536625414738843,315.46709804286985,70.21980606797065,0.9948405114166048,2.3587623013401595,0.0420939183249053,0.0421006206445583,0.0403126971282785,203.03216629391005,18.326153223388637,17.6452790413729,0.9448105142077784,1.084130606664296,15.71802118028073,1000.0
1989,8.126905888820493,8.126905888820493,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.206825783855026,0.0347271312485943,124.32103468977108,16.977470125832273,0.9967453594067928,2.1815652270757564,0.0370609530305715,0.0370663005456544,0.0369309406237347,134.93119712929294,10.478835251243572,10.523255688439416,0.98000575420549,1.1838544798556825,17.522739776048724,1000.0
1990,8.665971226618906,8.665971226618906,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.1249824940992976,0.0324157722978088,117.3916280711946,15.669703664566317,0.997370189614886,2.0432345604047604,0.0553034086664976,0.0553236626164868,0.0505872240814983,111.64879743652094,13.338250699863783,12.395493790840195,0.9677900893751528,1.1809082179100088,19.345271728959133,1000.0
1992,7.465068963129983,7.465068963129983,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.2158432186449795,0.0395579313743657,87.83843088367628,11.132307387407431,0.9949571247325956,2.385813881756108,0.0814978497141377,0.0815453841887254,0.0846722698809731,164.2502638201749,26.92478336481293,28.862581307329503,0.989017969450284,1.1377817901808236,14.694660749233904,1000.0
1993,8.09189309790807,8.09189309790807,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.2247184517105785,0.0445996264006587,113.98906162573168,17.63261152352691,0.994233691028353,2.30854639052865,0.0765275676624627,0.0765696042312286,0.0740693548075746,168.8108151264237,27.02602574215508,27.13953965299856,0.987049726439471,1.1846181884454163,16.771362627122045,1000.0
1995,8.407876016545897,8.407876016545897,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.81498264520965,0.0833673123773054,528.5096506593684,192.1617833217215,0.987033751215114,2.354246696428253,0.0805135382001125,0.0805606083813889,0.0724073893623633,185.7015978628109,31.852864147491648,30.06838792108236,0.8868724295627749,1.0395642341268876,14.634111608519916,1000.0
1996,8.124437179052151,8.124437179052151,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.768367752430817,0.0782221765732304,435.2511089992099,211.99174491720152,0.9890732777606026,2.448438958003312,0.0825837963862236,0.0826307590265798,0.0746669023037317,219.50251986937064,37.99615652620617,35.04868929743754,0.896043333055594,1.0868758810000745,14.566082344096046,1000.0
1997,7.79009107647884,7.79009107647884,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.4693767411230025,0.0541786911615534,194.4096133009451,36.07698302824311,0.9870747699933728,2.32206788077656,0.0722128760073408,0.0722477867543742,0.0697821587269992,164.29078928066536,24.366632888371058,24.47293528614817,0.9500000834524636,1.1957351342600089,15.933893990835386,1000.0
1998,8.15287296793561,8.15287296793561,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.5695625585912154,0.0347963358617819,261.69581960134343,27.876975175000343,0.9947974353016932,2.400075202667349,0.0755952632632232,0.0756327516182403,0.0677029670106598,207.7139817563189,32.96535662663071,29.865312347547185,0.96288365884382,1.156892000459084,15.729912778298967,1000.0
1999,8.176655455951684,8.176655455951684,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.983033542269379,0.0697193428292576,764.9941340401873,285.6931001030419,0.995133609758834,2.3343081813087214,0.075027506562847,0.0750662504366154,0.0650346614699732,173.5492168490256,27.37486395910865,24.39910061479706,0.8241151536444582,1.0711282255565884,14.54152199450155,1000.0
2001,8.53395522561751,8.53395522561751,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.858934010126409,0.0664191921544748,588.1840898676451,183.1269081333239,0.9979796918398322,2.3326399775766484,0.0731454368444066,0.0731813893837429,0.0619196505176366,178.48624529283995,28.00534378829028,24.33299631688539,0.857595733123401,1.021720348007796,14.510521944687085,1000.0
2002,8.35044854642999,8.35044854642999,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.790846067875424,0.095498667618694,412.93008538450175,139.32910397656775,0.9826372612374203,2.482966664869789,0.0767357157115492,0.0767723524840821,0.0674094227577205,233.2496855822705,38.004568981493634,34.43016051439747,0.9120469029404992,1.0214733802280995,13.775663335971387,1000.0
2003,7.988967241340482,7.988967241340482,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.9531524685684154,0.0539963037810242,610.5721669447092,113.318919590212,0.9908262257379,2.5377393456340256,0.0746071299744482,0.0746393646400045,0.0683514442147947,255.93072022271943,39.69618290283651,37.825467031592886,0.916364416526956,1.11236095488064,14.250765159994245,1000.0
2004,8.29192947397243,8.29192947397243,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.645936218717713,0.0365635588653033,278.0960524090911,32.06642841206601,0.9949197389324222,2.573640001430336,0.0766630052702993,0.0766970097098867,0.0757437324699334,278.3240738480201,45.15414463189951,46.96260586858266,0.9797963464618754,1.0338121709138277,13.860151146049745,1000.0
2005,7.475625354864691,7.475625354864691,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.719164043091664,0.0396487227957169,330.70483797948054,46.29215030813965,0.9953284759168548,2.486302246959424,0.0656338638652211,0.0656567288245998,0.0625801051776689,214.67449072919493,28.353822999042485,27.64083549569965,0.9545485297547436,1.2662919266168386,15.511082336899731,1000.0
2006,7.4087306824125,7.4087306824125,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.720648125644068,0.0486479524146299,310.1919454161237,51.44653873660285,0.9948595995538532,2.4188490341666817,0.0647158352673557,0.0647389935559114,0.0575802451802629,181.4828342518473,23.529274196694622,21.488171301327053,0.9267371192860868,1.2123894573320488,14.833914796500196,1000.0
2007,7.561989889673862,7.561989889673862,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.7680763424074595,0.0659981665469707,363.8105866549157,88.9165862177783,0.9953648978972988,2.4983016736591765,0.06905180821256,0.0690781789632708,0.0659793644910813,212.3008832211264,29.66999061560965,29.37283292097616,0.9463356657036353,1.15614594465691,14.30435386953468,1000.0
2008,7.59694880336684,7.59694880336684,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.7322200933508114,0.0427379369900138,325.0216973043529,60.83444698186966,0.9973574616843904,2.4188974356433475,0.0697114651657086,0.0697404091010045,0.0657144292507217,172.7179926862776,24.425067610430624,23.400460323648435,0.9312256438809948,1.0631815974215195,13.459989207903403,1000.0
2009,7.5750694401889955,7.5750694401889955,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.5231159110849246,0.0382241075473564,168.59579493967658,18.85733015327003,0.992619324611407,2.4524042691549486,0.070298615903891,0.0703274919025978,0.0660005850912603,179.7102633460054,25.591370911389028,24.53249927301432,0.9721555684775968,1.047314159825132,13.152888171420614,1000.0
2011,7.032932641135984,7.032932641135984,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.7881884708841604,0.0340394220241433,299.371685869108,35.22476341175639,0.9971395617622328,2.4629753157158816,0.0699437989009617,0.0699719963618501,0.0627582768834274,171.99462981124748,23.475141215217867,21.29253007812553,0.9256640839251872,1.183940421062682,13.573366853575877,1000.0
2012,6.86123801280913,6.86123801280913,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.6797899471949647,0.0586938477569515,230.2564072084456,43.40392364053688,0.9955133060516128,2.327834824759444,0.0669482162967208,0.0669758980081644,0.0609466729440648,120.78872710505152,15.58030492593991,14.327749199887831,0.9139861711240814,1.1117854778194658,12.90659259814359,1000.0
2013,6.874046452162832,6.874046452162832,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.6710596130596254,0.0488409625603806,208.41955765171485,27.43130415872546,0.994649147222878,2.6118322718975944,0.0716175505463567,0.071644469378564,0.0666668007411959,220.3557404677898,30.43395628838806,28.96114830841236,0.9774978626488616,1.2217078189300412,13.392567301728931,1000.0
2014,6.950485514934318,6.950485514934318,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.881560676475032,0.0490804631548385,337.44272770853263,46.27550500263678,0.9949902443878412,2.538304816397212,0.0709200787164025,0.0709477548457397,0.0651086911176671,186.2357609969125,25.617534224710496,23.81615626923689,0.9280563810413864,1.1213431607696214,12.490937504164094,1000.0
2015,6.738138721209536,6.738138721209536,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.2341064206605967,0.0821931491369555,784.8029437711704,265.2784012669433,0.9867849456189266,2.558701170688906,0.0684330634856365,0.0684575344549474,0.0577976499539058,191.4508887263885,25.00390163314701,21.672179671713856,0.8410810331877725,1.2162867583086827,13.002030419952746,1000.0
2016,6.6528101920850125,6.6528101920850125,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.0092631242403813,0.0533981910784241,430.7303906489181,86.05826938939087,0.9965504476115634,2.458068983600984,0.0341530258588727,0.0341563223239691,0.0304343423525612,145.8709391205541,9.441872134511222,8.449387868119853,0.8664793619066,1.1385391092579935,12.26769404786846,1000.0
2017,6.5435217482552686,6.5435217482552686,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.825593494959755,0.072745568813504,294.24126915771194,99.91273666273096,0.9951979037038334,2.5471560751115176,0.0331667695145321,0.0331695810916219,0.0310931054507718,178.6928636968743,11.13403889094946,10.44719559889352,0.9256691192658464,1.2883636601935384,13.585661184405083,1000.0
2018,6.873563688447632,6.873563688447632,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.0467414366840107,0.0715288944341278,558.8365489932047,186.8752407112765,0.9948049297191148,2.533174805915377,0.0346750070968669,0.0346782554932585,0.0318816119963965,185.43750908352703,12.396251463816268,11.490019300796082,0.8848811392166092,1.1947696089295428,13.221230331648757,1000.0
2019,6.730488746199635,6.730488746199635,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.702708116837855,0.0486305394881342,229.3531411872272,33.17853604198693,0.9929548457271344,2.3695894615819,0.0328697765170635,0.0328729387448246,0.0294039951485846,129.57475445316996,8.121371801816535,7.276570124520156,0.920034579247002,1.1860341455510597,13.29207340931876,1000.0
2020,6.40488884758964,6.40488884758964,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.857773635102283,0.07666231565212,301.6909349252522,68.71477585004344,0.9908221683853056,2.384105843561527,0.0369285008233157,0.0369329305601471,0.0324558674864639,121.53067137005556,8.335390909392073,7.352146665053002,0.8952324727228114,1.193783618126722,12.658496626540083,1000.0
2021,6.494310450810921,6.494310450810921,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.109813105474418,0.0803303734166227,570.9377029382844,209.77135573304992,0.9934532597493608,2.4777394174670104,0.0392353973400389,0.0392403162139489,0.0341433126863368,150.06975293948915,11.017482957537432,9.6572047302405,0.8425065161593293,1.2138847966103758,12.744072236674556,1000.0
2022,6.098769336591756,6.098769336591756,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.8232933841903063,0.1103382334403198,275.2912938653525,89.20332369367536,0.9815170747107,2.4562258857326964,0.0348199479965924,0.0348234466098151,0.0329741274596178,133.9689935206278,8.435199755089204,8.046365737272737,0.929483102436928,1.3363770645897677,13.451411034436076,1000.0
2023,6.053085381592835,6.053085381592835,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.8227613570661862,0.0425525769827095,244.8187227413748,29.52472908047745,0.9950137492324344,2.4454663314283573,0.0349566418874195,0.0349602130824117,0.030225433556657,128.64234164272034,8.097809668834234,7.0437107372255925,0.9172928327159584,1.2945240627000376,12.82574585111304,1000.0
2024,6.429786826327929,6.429786826327929,0.0,earliest_tail_start_with_r2_ge_0.98,True,3.1282329231402533,0.1149442348509185,522.878395567279,310.4392236275417,0.9883580724390276,2.5425172508385647,0.0393869324339822,0.0393916582043015,0.0383045535289088,154.7795201067101,11.346200476002704,11.153643120868407,0.8571593677339548,1.1034259960491684,11.41174938240681,1000.0
2025,6.061163753063535,6.061163753063535,0.0,earliest_tail_start_with_r2_ge_0.98,True,2.921147449851836,0.0585109653892935,328.1158642548716,72.80551916590338,0.9954876063184672,2.471429010734932,0.0340087019927159,0.0340119217514794,0.0309620052084314,134.5338989495072,8.245063864779775,7.566832051189163,0.910491230549759,1.3086001868366863,12.979107537646954,1000.0
