year,bootstrap_reps,gompertz_A_bootstrap_se,gompertz_B_bootstrap_se,pareto_alpha_ls_bootstrap_se,pareto_beta_ls_bootstrap_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_bootstrap_se
1978,1000,0.009945505146923439,0.022613961647563272,0.0701482546618698,36.69200536102239,0.05790064978695206,47.30652547039432
1979,1000,0.017991173660379545,0.05442650799611652,0.35751684923586835,9.848939002753827,0.022273925344968377,0.2884726940955675
1981,1000,0.005564202531611444,0.020029580234962187,0.1395434029244651,593.2300998245366,0.03163041754130094,15.439834504632318
1982,1000,0.0046321926079863655,0.015283035303383359,0.04073041291355104,57.25771443013916,0.057019486097387384,65.01406690233031
1983,1000,0.017628818611494453,0.04755497153664274,0.05738717323995826,81.55425032268484,0.030819973751122123,14.00524785267193
1984,1000,0.008503252044184163,0.02767266449111611,0.06580937225679571,427.0114263618144,0.03282057235189388,21.85972221780932
1985,1000,0.005433135307742582,0.019166008135448,0.0833953266551737,265.3507906146869,0.030741957108133953,12.798975907178361
1986,1000,0.0058347325923592645,0.016997494433973945,0.050763592199330757,10.420907706287817,0.040879227648969695,12.420722735767734
1987,1000,0.00863583871618504,0.019553009864607642,0.05466297318599751,63.952152788547664,0.03891031089387929,14.839448458769876
1988,1000,0.010119872436558297,0.027672761211004822,0.05166733952635177,66.43606890690387,0.03990832053281877,17.340328852631743
1989,1000,0.01376346758804775,0.0268149333850402,0.05397060364036749,33.54045685527388,0.055902674789727456,12.726117364608225
1990,1000,0.006479627742984175,0.014777908389639082,0.032671963072340264,15.665972138630398,0.05037397001628235,12.285107991408212
1992,1000,0.005406508227705949,0.023403994439123593,0.04055994103283167,11.526661406523026,0.08312153956087959,28.362082331481425
1993,1000,0.004253347029626618,0.014150647607599365,0.043055379722900904,17.089113281117314,0.0735578652693557,26.805993950789457
1995,1000,0.02110090179787128,0.04046148660873071,0.08015579411797914,185.54255331080986,0.07156905793664985,29.48005582667518
1996,1000,0.013822193503768499,0.02890309159050694,0.08191533875213708,220.51206949284486,0.07350444727068647,34.54934506146267
1997,1000,0.008007872871425337,0.017736837858901677,0.05717166674014221,37.56852413044017,0.0700804082484006,24.610601964478644
1998,1000,0.00893522425550527,0.018484573242222545,0.03404650437798459,27.237121880887344,0.06923647575947679,30.186461787612448
1999,1000,0.015313716087023768,0.03168186939637083,0.06962071885478582,267.77123805112575,0.064402963879131,24.11323635624832
2001,1000,0.025176250910574852,0.049576107973959976,0.06776510889159293,195.3572962151999,0.06387078337548387,25.16882759721859
2002,1000,0.023028827018907978,0.0513936404435369,0.09309004839407925,136.40766802736982,0.0687242862205901,34.56519730899736
2003,1000,0.010431409318011549,0.024608090836384086,0.050463883459973755,103.69815458836388,0.0686557055145873,37.594652690592696
2004,1000,0.024346675720763607,0.04294713040031589,0.03694290829222707,32.81716718698773,0.0759441755513801,46.12137050765964
2005,1000,0.006595830413479249,0.01331679709825026,0.04069839311357641,48.00489657288671,0.06037833057922299,26.123791662486596
2006,1000,0.008492330779109594,0.017363029883909885,0.047543045086638216,50.55618417641872,0.0570254255062217,21.26040494528347
2007,1000,0.010145516161617522,0.020800622918487454,0.0702651593573493,101.09008277373637,0.06641157557686604,29.342503892195836
2008,1000,0.01913129756370737,0.036097661225057566,0.044199103521772753,64.7296755086224,0.06567314358095337,23.333156184179398
2009,1000,0.020962155368567884,0.043490012169416385,0.036396629111988744,18.223275427024408,0.06160631729078655,22.579854287651735
2011,1000,0.00901590206164498,0.02042367442509166,0.03225624702742026,32.91593593290546,0.06302027906123188,21.093561028484867
2012,1000,0.01402304147834101,0.03273811022819046,0.05970017679008477,44.27149067694816,0.061333569908360794,14.443394938787693
2013,1000,0.00778308179263437,0.018475012084360164,0.0484806127817429,27.014575113450682,0.06849044725557954,29.322152932038097
2014,1000,0.01213428648114527,0.028773149591406574,0.05101942472127248,48.18864969020127,0.06510651849914732,23.51588369469317
2015,1000,0.010293718857910627,0.01988482883141561,0.07851465093870955,251.3207896771077,0.0587793898314854,21.899245494313554
2016,1000,0.01729133625076023,0.03822713169787191,1.0435708199551847,13092325.77207152,0.045825143875001154,30.01006262068893
2017,1000,0.011856665965379027,0.026371436704847224,0.8009048908253328,1196136.8469468732,0.03227984535140436,6.464067658072652
2018,1000,0.01646852145163926,0.032371425205304755,0.18617676496455096,10292.76361573985,0.057432590835870524,59.628251668627506
2019,1000,0.011085636435465895,0.022247844833850887,0.2113822519689718,742.7975792446629,0.052909357781806714,31.244284854031427
2020,1000,0.006355383613667446,0.011745786353124687,1.2264477250610655,8074400297.757066,0.06142349675885247,87.21513975507882
2021,1000,0.010289345300806678,0.023403339572839653,0.8253645777602202,711217.1608460568,0.05704321981986035,92.26763894618587
2022,1000,0.011870152582835011,0.026478737936281235,1.1463928453782108,160614810446.90326,0.10020494967319117,1216.5574170320913
2023,1000,0.01686338464749985,0.03401479556817099,0.49971276043116364,32003.526524471155,0.0490203757557703,20.571298492065115
2024,1000,0.007949635872402409,0.01616718188985077,0.3199333846011244,2832.192818318519,0.06421438955617488,66.51236784828528
2025,1000,0.0048872424623707875,0.00936156016577108,4.325020528442798,1.8900785918838566e+36,0.10148534750859109,1857.2553484672349
