table_name,table_description,column_name,description,unit,source
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,income_observation_n,Income observation n.,count,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,income_mean_2025_usd,Income mean 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,income_median_2025_usd,Income median 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,income_std_2025_usd,Income std 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,gini_pnad,Gini pnad.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,pietra_pnad,Pietra pnad.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,kolkata_pnad,Kolkata pnad.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,zanardi_pnad,Zanardi pnad.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,gini_ipea,Gini ipea.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,gini_world_bank,Gini world bank.,dimensionless,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p90_p99_population_n,P90 p99 population n.,count,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p90_p99_income_share_pct,P90 p99 income share pct.,%,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p90_p99_mean_income_2025_usd,P90 p99 mean income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p90_p99_median_income_2025_usd,P90 p99 median income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p90_p99_std_income_2025_usd,P90 p99 std income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p99_p999_population_n,P99 p999 population n.,count,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p99_p999_income_share_pct,P99 p999 income share pct.,%,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p99_p999_mean_income_2025_usd,P99 p999 mean income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p99_p999_median_income_2025_usd,P99 p999 median income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p99_p999_std_income_2025_usd,P99 p999 std income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p999_p100_population_n,P999 p100 population n.,count,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p999_p100_income_share_pct,P999 p100 income share pct.,%,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p999_p100_mean_income_2025_usd,P999 p100 mean income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p999_p100_median_income_2025_usd,P999 p100 median income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_03_economic_inequality_annual.csv,Annual income and inequality statistics.,p999_p100_std_income_2025_usd,P999 p100 std income 2025 usd.,2025 US$,Stage 03 / Stage 05 consolidation
table_04_metadata.csv,Data dictionary for paper tables.,table_name,Metadata field table_name.,text,paper table schema
table_04_metadata.csv,Data dictionary for paper tables.,table_description,Metadata field table_description.,text,paper table schema
table_04_metadata.csv,Data dictionary for paper tables.,column_name,Metadata field column_name.,text,paper table schema
table_04_metadata.csv,Data dictionary for paper tables.,description,Metadata field description.,text,paper table schema
table_04_metadata.csv,Data dictionary for paper tables.,unit,Metadata field unit.,text,paper table schema
table_04_metadata.csv,Data dictionary for paper tables.,source,Metadata field source.,text,paper table schema
