year,gompertz_income_share_pct,pareto_income_share_pct,gini_coefficient
1978,59.077025620961365,40.92297437903865,0.768253550064633
1979,59.80092233051766,40.19907766948235,0.7288355532326778
1981,85.84720476113166,14.152795238868324,0.5884866557212263
1982,85.17953980734302,14.82046019265698,0.5898439323148535
1983,86.46612531340743,13.53387468659256,0.5984475364063784
1984,86.46456768297374,13.535432317026268,0.5907641612178143
1985,84.87907535586166,15.120924644138354,0.6020969269730102
1986,84.22080517992408,15.779194820075915,0.5930790055734168
1987,84.53158264435757,15.468417355642439,0.6046304992949822
1988,84.28197881971926,15.718021180280761,0.6245229030230508
1989,79.49838606417381,20.501613935826178,0.6849621476811574
1990,80.65472827104085,19.345271728959133,0.6608834465792127
1992,85.30533925076611,14.694660749233895,0.585684044253634
1993,83.22863737287796,16.77136262712204,0.6097346922973377
1995,85.36588839148008,14.634111608519909,0.6078148953935558
1996,85.43391765590395,14.56608234409605,0.6093421955328784
1997,84.06610600916463,15.933893990835383,0.6087982134452723
1998,84.27008722170103,15.72991277829898,0.6095628702928875
1999,85.45847800549845,14.541521994501538,0.6040101548852397
2001,85.48947805531292,14.510521944687078,0.6045135448171821
2002,85.90117034177301,14.09882965822698,0.5972393646717101
2003,85.74923484000576,14.250765159994238,0.5883019899185813
2004,86.13984885395026,13.86015114604974,0.5835216952670556
2005,84.48891766310027,15.51108233689975,0.5795971476217483
2006,86.56334029979217,13.436659700207834,0.5716294678824336
2007,85.69564613046532,14.304353869534697,0.5668787248530293
2008,86.38060474258788,13.619395257412123,0.5606321190512241
2009,86.84711182857939,13.152888171420607,0.5559048100990898
2011,86.3139371399931,13.686062860006901,0.5433294349758191
2012,86.15610334869736,13.843896651302657,0.5401214311993621
2013,86.60743269827105,13.392567301728922,0.5363271946845327
2014,87.30346337074751,12.696536629252494,0.5259931339361601
2015,98.45919613147181,1.5408038685281802,0.5234182113695935
2016,88.53079605316859,11.469203946831408,0.485711493215849
2017,88.1965314398841,11.803468560115906,0.4936706007513877
2018,87.5919942444681,12.40800575553192,0.5021849620620875
2019,87.2056474449249,12.794352555075077,0.5041439174187351
2020,87.84086380761086,12.15913619238914,0.5038942501318829
2021,86.3597867801851,13.640213219814914,0.4938250450432762
2022,87.79553091607796,12.204469083922039,0.4989927307926434
2023,88.2276515281268,11.772348471873187,0.4944539194462264
2024,86.85967644889973,13.140323551100266,0.4947102938359283
2025,88.66186095147974,11.33813904852027,0.4927457265214714
