year,gompertz_A,gompertz_B,gompertz_x_gmax,correlation_coefficient,gompertz_population_pct
1978,1.5267294032027052,0.4988186256394963,5.932210450585064,0.9884351086806864,99.69583366076672
1979,1.557840581430473,0.5187213617369253,6.935027877303481,0.959114398905715,98.97999078023705
1981,1.5426976258399587,0.3402385293521328,7.371242712382564,0.9868434136959774,98.79690299408298
1982,1.536240201198786,0.3302483095104128,7.849559609203476,0.9916999997021271,98.76235828760666
1983,1.5665094261996255,0.3862457931569002,7.96710960176985,0.9498409107606761,98.96437332180858
1984,1.5489594592064022,0.3535904213867211,7.82329475179977,0.9781250291430768,98.88783175754692
1985,1.5411616906465446,0.3406375005349402,7.72788415290446,0.9869963977218971,98.82657735195096
1986,1.5454510365523644,0.3442358578517293,7.218092203968127,0.9903133750538335,98.74956887753306
1987,1.5434750934624677,0.3422215782551637,7.763947684149914,0.9884267029083729,98.81790065444356
1988,1.541946388671655,0.3418336942446066,8.533216400084266,0.9769291065997056,98.9158693933357
1989,1.5299438140996071,0.3281218785877,9.73777265679984,0.9733928064391795,98.94289892351874
1990,1.5235920352618275,0.3131477373671627,8.665971226618906,0.990684736503337,98.81909178209
1992,1.5518884750231396,0.3698095738271282,7.465068963129983,0.9844591830324164,98.86221820981918
1993,1.5378937279822094,0.3392542185742204,8.09189309790807,0.9922244451589405,98.8153818115546
1995,1.5638883942401107,0.3747107840889911,8.407876016545897,0.9606335136620965,98.96043576587311
1996,1.5561043976656594,0.3595423521420449,8.124437179052151,0.9758985973427269,98.91312411899992
1997,1.542527641031932,0.3402746256320457,7.79009107647884,0.9899185163405976,98.80426486574
1998,1.5426548530677415,0.338650015834246,8.15287296793561,0.9885719122614395,98.84310799954092
1999,1.558145460215847,0.3628508957227123,8.176655455951684,0.9711929484371838,98.9288717744434
2001,1.570973831809025,0.3876160716148116,8.53395522561751,0.9454975678420318,98.9782796519922
2002,1.5799031282416047,0.399108332839945,8.319232469818342,0.9443879675492436,98.97756097560976
2003,1.555611301108145,0.3612296875252678,7.988967241340482,0.9827442886992148,98.88763904511936
2004,1.5886829114632903,0.4019418270837376,8.29192947397243,0.9581800033532449,98.96618782908617
2005,1.5477201590388352,0.3434116097002069,7.475625354864691,0.99384293981407,98.73370807338316
2006,1.599618372080252,0.4231159357741781,8.137758270021328,0.9361922554234743,98.98375394869302
2007,1.561571717812681,0.3682625679823327,7.561989889673862,0.987927473773563,98.84385405534309
2008,1.5778398564924128,0.3982760553035808,7.583022241382891,0.9703931284045418,98.93594475743072
2009,1.5911220471341934,0.4142882375461025,7.5750694401889955,0.9615749399910576,98.95268584017488
2011,1.5675434524899852,0.3804502288714771,7.023829110994125,0.9882278473061185,98.815116101436
2012,1.5799485474366477,0.4098960791860551,6.78783390498434,0.9782134735172966,98.88184936230472
2013,1.5668512251190387,0.3816868014217772,6.874046452162832,0.9906535004888598,98.77829218106996
2014,1.577618754600044,0.4047554600567312,6.934216319838362,0.9812474695075,98.87779129719272
2015,1.567841874248928,0.384669109089362,6.731204508147656,0.9900659487526062,99.94692929415962
2016,1.5996113238607212,0.4577498202064483,6.291988037056107,0.9648913253506842,98.90251382188796
2017,1.598262522990916,0.4600903473906572,6.584126780086462,0.964669220487339,98.93509970861808
2018,1.5917023028863695,0.4417035143211394,6.904001551784726,0.9806692155248299,98.89160231447867
2019,1.5760587171355993,0.4136913395564351,7.071965865410624,0.9878072221872523,98.84691036803852
2020,1.5900330186177685,0.4255568281924823,6.772846876962111,0.9651567006445774,98.92905758571676
2021,1.5719317152598122,0.3981739582663453,6.418770551983073,0.994102372034415,98.69399958282152
2022,1.595649240151502,0.44985098438388,6.97099909126432,0.9653856806785163,98.94419526543652
2023,1.598887941668528,0.4524028865170309,7.250082108139716,0.9759194305601013,98.91606971237206
2024,1.573885352810949,0.4020443736146901,6.673786621279553,0.9929817673203067,98.70909204380158
2025,1.5972105400582697,0.4493104048320402,6.285762219142245,0.9450809333611514,98.94849237482882
