dataset_name,layer,parquet_file,description,processing_level,source_stage,source_pattern,n_rows,n_columns,n_years,first_year,last_year,n_row_groups,compression,file_size_bytes,schema_version,schema_file,annual_metadata_file,observation_unit,record_weighting
pnad_refined_all,refined,pnad_refined_all.parquet,Consolidated minimally transformed baseline containing all annual refined PNAD/PNAD Continua income records.,baseline,Stage 01,pnad_refined_*.parquet,10402293,2,45,1976,2025,45,snappy,17255157,1.0,pnad_refined_all_schema.csv,pnad_annual_metadata.csv,harmonized household per-resident income record,equal observation weights; survey expansion weights are not included
pnad_trusted_all,trusted,pnad_trusted_all.parquet,Consolidated quality-controlled benchmark containing annual trusted PNAD/PNAD Continua income records after Stage 02 row selection.,validated benchmark,Stage 02,pnad_trusted_*.parquet,10394419,2,45,1976,2025,45,snappy,17249812,1.0,pnad_trusted_all_schema.csv,pnad_annual_metadata.csv,harmonized household per-resident income record,equal observation weights; survey expansion weights are not included
