layer,schema_version,column_name,description,logical_type,storage_type,unit,source,is_calculated,calculation_stage,calculation,nullable,storage_nullable,n,n_missing,n_unique,n_categories
trusted,1.0,renda,"Harmonized annual income value. Stage 01 applies the annual income-scale divisor and, when a member field is configured, divides household income by the member count. Exact annual rules are recorded in pnad_annual_metadata.csv.",continuous numeric,double,nominal survey-year currency units,Stage 02 annual trusted PNAD Parquet files; values retained unchanged after Stage 02 row selection,True,Stage 01,income_raw / income_scale_divisor; additionally / member_count when stage01_divides_by_members is true,False,True,10394419,0,214971,
trusted,1.0,ano,Survey year assigned to each observation.,integer temporal identifier,int64,year,Stage 02 annual trusted PNAD Parquet files; values retained unchanged after Stage 02 row selection,True,Stage 01,survey year assigned from the annual extraction specification,False,True,10394419,0,45,
