dataset_name,layer,processing_level,dataset_description,parquet_file,metadata_file,schema_version,stage04_operation,source,source_pattern,column_name,arrow_type,parquet_nullable,observed_null_count,description,unit,n_rows,n_columns,n_years,first_year,last_year,n_row_groups,compression
pnad_trusted_all,trusted,validated benchmark,"Consolidated trusted PNAD/PNAD Continua benchmark after Stage 02 structural cleaning, deterministic upper-tail treatment, and validation.",pnad_trusted_all.parquet,pnad_trusted_all_metadata.csv,1.0,validation and vertical concatenation only,Stage 02 annual trusted PNAD Parquet files,pnad_trusted_*.parquet,renda,double,True,0,"Income value preserved exactly from the corresponding annual data layer. For years where Stage 01 applies a per-capita construction, this is the resulting per-capita income.",nominal survey-year currency units,10394419,2,45,1976,2025,45,snappy
pnad_trusted_all,trusted,validated benchmark,"Consolidated trusted PNAD/PNAD Continua benchmark after Stage 02 structural cleaning, deterministic upper-tail treatment, and validation.",pnad_trusted_all.parquet,pnad_trusted_all_metadata.csv,1.0,validation and vertical concatenation only,Stage 02 annual trusted PNAD Parquet files,pnad_trusted_*.parquet,ano,int64,True,0,Survey year associated with the observation.,year,10394419,2,45,1976,2025,45,snappy
