dataset_name,layer,processing_level,dataset_description,parquet_file,metadata_file,schema_version,stage04_operation,source,source_pattern,column_name,arrow_type,parquet_nullable,observed_null_count,description,unit,n_rows,n_columns,n_years,first_year,last_year,n_row_groups,compression
pnad_refined_all,refined,baseline,Consolidated refined PNAD/PNAD Continua baseline before trusted-stage statistical treatment.,pnad_refined_all.parquet,pnad_refined_all_metadata.csv,1.0,validation and vertical concatenation only,Stage 01 annual refined PNAD Parquet files,pnad_refined_*.parquet,renda,double,True,0,"Income value preserved exactly from the corresponding annual data layer. For years where Stage 01 applies a per-capita construction, this is the resulting per-capita income.",nominal survey-year currency units,10402293,2,45,1976,2025,45,snappy
pnad_refined_all,refined,baseline,Consolidated refined PNAD/PNAD Continua baseline before trusted-stage statistical treatment.,pnad_refined_all.parquet,pnad_refined_all_metadata.csv,1.0,validation and vertical concatenation only,Stage 01 annual refined PNAD Parquet files,pnad_refined_*.parquet,ano,int64,True,0,Survey year associated with the observation.,year,10402293,2,45,1976,2025,45,snappy
