year,N_valid,mean_nominal,median_nominal,std_nominal,mean,median,std,xmin_positive,xmax,Gini
1976,148387,2210.5394946996703,1000.0,5429.8406754534,1099.945831116976,497.5915760629364,2701.8429794694966,0.49759157606293647,201795.27812286752,0.6136927360053015
1977,192959,3149.400121269285,1300.0,9574.306100144884,1115.7858565874644,460.57076195802904,3392.034965971641,0.35428520150617615,245342.50204302697,0.6331139745325973
1978,215695,4371.611187092886,2000.0,9782.350359726359,1118.917816361111,511.90179934789194,2503.8013754977105,0.25595089967394596,212439.24672937515,0.6190917906193394
1979,171371,10043.751346493864,3000.0,58426.34168721229,1520.2830793853295,454.0981831204054,8843.765202178367,0.1513660610401351,155906.7401392171,0.7288355532326778
1981,472198,10238.12861593576,5000.0,17716.634593001138,338.6739752811485,165.39837893518873,586.0605283738951,0.0030072432533670675,27456.130903241326,0.5884866557212263
1982,206845,49336.371374700866,25000.0,88324.41086880892,810.2245411619291,410.56147756004367,1450.5040252367428,0.016422459102401747,84575.664377369,0.5898439323148535
1983,499797,43713.015742401374,20428.571428571428,81150.83862496793,201.2780139191355,94.06402680105207,373.66169661138355,0.0230226639023554,32231.729463297565,0.5984475364063784
1984,504543,123746.92207625261,60000.0,213075.30715878782,173.88410141966835,84.30954006881302,299.40468577630776,0.003512897502867209,14051.587201150835,0.5907641612178143
1985,514137,472656.95313793456,223333.33333333334,900141.4286116081,190.0018310308094,89.7770401595342,361.8449247122007,0.0016079469879319557,30149.00602372417,0.6020969269730102
1986,284142,1329.1840383692063,652.25,2830.9573725994533,283.0933300464876,138.9180272954287,602.9452105158542,0.03549713231006227,71278.24167860505,0.5930790055734168
1987,292615,4000.636700914002,1916.6666666666667,7741.134848936022,226.79551598299238,108.65555613554145,438.8438150250594,0.1700695661251953,28344.927687532545,0.6046304992949822
1988,289633,29877.355418587245,13333.333333333334,62085.83170904581,248.49461461924582,110.89540830629782,516.3775243058044,0.020792889057430836,37427.20030337551,0.6245229030230508
1989,113568,2958.627834103776,1040.8,8534.331979992949,2352.880671624977,827.7074172017607,6787.019485686348,1.249695507469442,497039.57644690125,0.6849621476811574
1990,115785,80747.4011213423,31501.5,211427.28391755544,2615.792194688517,1020.4833428279945,6849.134849363697,0.6988011217925096,809868.979338547,0.6608834465792127
1992,76440,790108.087158418,415000.0,1583958.8649833836,314.5880876192804,165.23569177925026,630.666358567242,0.00019907914672198825,49968.86582721905,0.585684044253634
1993,77843,17499.86112474671,8666.666666666666,38989.91766117366,351.9476482223468,174.29926612086115,784.1439270525428,0.002873064826168041,80797.76557391074,0.6097346922973377
1995,83455,251.17817743922058,118.0,486.0617795082694,558.3136648511257,262.2879627684796,1080.4080841258126,0.7409264484985298,51123.92494639856,0.6078148953935558
1996,82551,283.7468729715608,132.0,541.8219154288261,572.3618253156156,266.2646469032053,1092.939553000566,0.5042891039833434,60514.692478001205,0.6093421955328784
1997,87988,296.8638742859821,138.33333333333334,602.6969891096128,546.0181807563927,254.43484892294606,1108.5333785813407,0.4598220161258061,98990.48363156353,0.6087982134452723
1998,88562,312.3489798541759,144.66666666666666,625.4432112744173,524.5446925400587,242.9466304736749,1050.3409267171967,0.4198386471319267,68013.86083537212,0.6095628702928875
1999,91737,312.3955307807227,147.5,586.008998362155,318.02924850443475,150.16000400892676,596.5770409717176,0.339344641828083,28957.975010399467,0.6040101548852397
2001,101423,360.8100437669634,180.0,696.2172897722613,245.86703097225305,122.65752115146006,474.4238163680741,0.227143557687889,27257.226922546677,0.6045135448171821
2002,103914,393.93053258231384,200.0,730.338382740047,211.3917625820536,107.32438595014577,391.91559231699046,0.10732438595014578,20391.633330527697,0.5957395428732748
2003,105676,429.6820416424124,232.0,775.8540375791118,257.52237616386407,139.0451205306301,464.9944748679466,0.08561891658290029,22774.63181105148,0.5883019899185813
2004,110351,475.56951908002645,260.0,891.0074390093745,281.0140137483322,153.63399175772574,526.4962674647636,0.5908999682989451,36192.62305831039,0.5835216952670556
2005,114576,528.1295733836056,295.0,969.5543630883552,375.4293846575969,209.70548527405958,689.2232820712723,0.7108660517764732,45874.318919291145,0.5795971476217483
2006,116333,587.0347536812426,330.0,1058.1537565041779,432.7824858052985,243.2875045645052,780.1078389862378,0.7372348623166823,58536.44806794458,0.5710157172380892
2007,115112,628.2308708040864,365.0,1120.6388194434421,514.1933556052595,298.74459138835897,917.2185923522305,0.8184783325708466,49108.69995425079,0.5668787248530293
2008,114821,707.9154248787243,415.0,1259.5252391026913,582.744999017932,341.6215639514737,1036.8216434183503,1.6463689828986685,69970.68177319341,0.5598349140987711
2009,117827,760.8806046152409,451.0,1355.6017941113585,628.0467303813521,372.2648122240178,1118.9420118301696,0.8254208696763146,78141.76831138702,0.5559048100990898
2011,106448,899.3834830151811,545.0,1496.04557534613,735.4880637184066,445.6841851072393,1223.4199140026253,0.8177691469857601,81776.91469857602,0.5427476870177501
2012,110502,1014.2672440317822,622.0,1686.304411026255,701.9337804256332,430.4613148002469,1167.0238165977776,0.6920599916402683,69205.99916402683,0.5352162393011409
2013,111029,1109.5523601941834,678.0,1800.6698609186542,678.470352150118,414.5842190604458,1101.0756756263154,0.6114811490567047,50141.45422264978,0.5363271946845327
2014,115020,1222.7204486176317,724.0,1920.9940243225,715.6205220994019,423.7348435496639,1124.2984839173118,0.5852691209249501,58526.91209249501,0.5248901286181102
2015,115625,1248.759904864865,788.0,1907.7045301829041,436.4198010877652,275.3922526799691,666.7094517954976,1.7474127708119864,37394.63329537651,0.5229362857855651
2016,229781,1754.1503039850988,1100.0,2277.7295117881936,724.2162452144747,454.1445895064472,940.3804855797904,2.477152306398803,13624.337685193417,0.47982986009349904
2017,228485,1859.7702256165612,1200.0,2517.9690706563583,780.5852766171955,503.6656244080335,1056.8453868435424,2.0986067683668064,18467.7395616279,0.48790585792160746
2018,227235,1960.353457874007,1200.0,2800.865482175397,612.3017078335542,374.8110048466007,874.8293381785995,1.5617125201941697,21863.975282718377,0.4987194137244376
2019,225215,2047.0181160224674,1200.0,3063.709766528092,628.0161927738719,368.1547444206277,939.9327383959422,1.2271824814020922,33747.51823855754,0.5028341835458989
2020,132773,2201.099462993229,1400.0,2846.944757628918,508.3830659687131,323.3548980055281,657.5525226646228,2.3096778428966296,7621.936881558877,0.48931027330851096
2021,172350,2133.502088772846,1400.0,2687.2486020594847,478.3538045705561,313.894853875665,602.5096480507478,0.44842121982237854,7398.950127069246,0.4785899211902097
2022,205272,2481.772146225496,1500.0,3432.996084417629,518.5004735499999,313.38522011695306,717.233489050571,0.8356939203118747,13580.026205067965,0.4917024158171105
