year,bin_left,bin_right,bin_center_geo,N_bin,mean,geometric_mean,median,std,ccdf
1976,0.49759157606293647,0.5224711548660833,0.5098796381473151,10,0.4975915760629365,0.49759157606293647,0.49759157606293647,5.851389114294502e-17,1.0
1976,0.985197285061861,1.0344571493149541,1.0095268074785955,2,0.9951831521258729,0.9951831521258729,0.9951831521258729,0.0,0.9999326086517013
1976,2.881958919364989,3.026056865333239,2.9531291156251176,4,2.9855494563776186,2.985549456377618,2.9855494563776186,0.0,0.9999191303820415
1976,4.929127768264302,5.175584156677518,5.050852956052862,8,4.975915760629364,4.9759157606293645,4.975915760629364,0.0,0.9998921738427221
1976,5.434363364511394,5.706081532736964,5.568565384048281,1,5.4735073366923,5.4735073366923,5.4735073366923,,0.9998382607640831
1976,5.706081532736964,5.991385609373813,5.846993653250696,1,5.971098912755237,5.971098912755237,5.971098912755237,,0.9998315216292533
1976,7.2825666543539285,7.646694987071625,7.462410195698382,5,7.463873640944046,7.463873640944046,7.463873640944046,0.0,0.9998247824944234
1976,8.852005284408792,9.294605548629232,9.070606232935107,1,8.956648369132855,8.956648369132854,8.956648369132855,,0.9997910868202741
1976,9.759335826060694,10.247302617363728,10.000343371810958,31,9.951831521258727,9.95183152125873,9.951831521258727,0.0,0.9997843476854441
1976,10.247302617363728,10.759667748231914,10.500360540401505,1,10.449423097321665,10.449423097321665,10.449423097321665,,0.9995754345057182
1976,11.862533692425687,12.455660377046973,12.155479870582294,15,12.439789401573414,12.439789401573409,12.43978940157341,3.677408027917051e-15,0.9995686953708883
1976,12.455660377046973,13.07844339589932,12.76325386411141,2,12.937380977636346,12.937380977636348,12.937380977636346,0.0,0.9994676083484402
1976,13.732365565694288,14.418983843979003,14.071487385182829,2,13.93256412976222,13.932564129762218,13.93256412976222,0.0,0.9994541300787805
1976,14.418983843979003,15.139933036177954,14.775061754441971,76,14.92774728188809,14.9277472818881,14.927747281888092,1.788160004724363e-15,0.9994406518091208
1976,15.896929687986853,16.691776172386195,16.289505584272277,3,16.254658151389254,16.252953970844615,16.4205220100769,0.28728463038642515,0.9989284775620506
1976,16.691776172386195,17.526364981005507,17.10398086348589,10,17.415705162202777,17.41570516220278,17.415705162202777,0.0,0.998908260157561
1976,17.526364981005507,18.402683230055782,17.959179906660186,1,17.91329673826571,17.91329673826571,17.91329673826571,,0.9988408688092623
1976,18.402683230055782,19.322817391558573,18.857138901993196,21,18.8847850534362,18.884482939551894,18.908479890391583,0.10858338392765582,0.9988341296744324
1976,19.322817391558573,20.2889582611365,19.799995847092855,99,19.903663042517458,19.903663042517437,19.903663042517454,3.5707937633970306e-15,0.9986926078430051
1976,20.2889582611365,21.30340617419333,20.7899956394475,2,20.89884619464333,20.89884619464333,20.89884619464333,0.0,0.998025433494848
1976,21.30340617419333,22.368576482902995,21.829495421419878,3,21.396437770706267,21.396437770706264,21.396437770706264,4.351167857633658e-15,0.9980119552251882
1976,22.368576482902995,23.487005307048143,22.92097019249087,6,22.47455285217596,22.473795230654336,22.39162092283214,0.20314091027691358,0.9979917378206986
1976,23.487005307048143,24.661355572400556,24.067018702115416,1,23.88439565102095,23.884395651020952,23.88439565102095,,0.9979513030117193
1976,24.661355572400556,25.894423351020585,25.27036963722119,250,24.885549902059573,24.885453399995942,24.87957880314682,0.07025694029623826,0.9979445638768895
1976,25.894423351020585,27.189144518571613,26.53388811908225,6,26.70408124871092,26.703046732450716,26.869945107398564,0.25695518497397934,0.9962597801694218
1976,27.189144518571613,28.548601744500196,27.86058252503636,12,27.699264400836793,27.696058850327603,27.367536683461502,0.44167490412405286,0.9962193453604427
1976,28.548601744500196,29.97603183172521,29.253611651288182,166,29.85549456377618,29.855494563776176,29.855494563776183,3.563463215253766e-15,0.9961384757424842
1976,29.97603183172521,31.474833423311466,30.71629223385259,1,30.353086139839117,30.353086139839125,30.353086139839117,,0.9950197793607257
1976,31.474833423311466,33.048575094477044,32.25210684554522,9,32.39874039698675,32.39751386371943,32.34345244409087,0.2990153236223076,0.9950130402258958
1976,33.048575094477044,34.7010038492009,33.86471218782249,2,33.83622717227968,33.836227172279685,33.83622717227968,0.0,0.9949523880124269
1976,34.7010038492009,36.43605404166094,35.55794779721361,76,34.851052097144894,34.85064816454876,34.83141032440555,0.17123300488543164,0.9949389097427672
1976,36.43605404166094,38.25785674374399,37.33584518707429,24,37.526698028079785,37.52589737087833,37.319368204720234,0.2505921708399679,0.994426735495697
1976,38.25785674374399,40.170749580931194,39.20263744642801,259,39.77850804008918,39.77796463526689,39.80732608503491,0.20579574900444783,0.9942649962597802
1976,40.170749580931194,42.17928705997776,41.16276931874941,11,41.16439401975201,41.16106582715528,40.802509237160784,0.5491981631120292,0.9925195603388437
1976,42.17928705997776,44.28825141297664,43.22090778468689,14,42.57962200881412,42.575254825800165,42.29528396534959,0.6388486078835287,0.9924454298557152
1976,44.28825141297664,46.50266398362548,45.381953173921225,35,44.81167565001073,44.811373154534,44.78324184566428,0.168216655050664,0.992351081968097
1976,46.50266398362548,48.82779718280675,47.651050832617294,4,47.893189196057634,47.89013443281785,47.7687913020419,0.6261223359434319,0.9921152122490514
1976,48.82779718280675,51.2691870419471,50.03360337424816,1224,49.760783722555274,49.76077168656894,49.75915760629364,0.03481463227026112,0.992088255709732
1976,51.2691870419471,53.83264639404445,52.53528354296057,7,52.74470706267125,52.73734231493138,52.24711548660832,0.952815327027709,0.9838395546779705
1976,53.83264639404445,56.524278713746675,55.1620477201086,27,54.845649272714766,54.844765826699884,54.735073366923004,0.3187136816956872,0.9837923807341613
1976,56.524278713746675,59.35049264943401,57.92015010611403,5,57.720622823300616,57.714631716516834,57.223031247237685,0.9309085980861853,0.9836104240937549
1976,59.35049264943401,62.31801728190571,60.81615761141973,505,59.78981551583956,59.78836219615074,59.71098912755237,0.4224802659221821,0.9835767284196055
1976,62.31801728190571,65.433918146001,63.85696549199072,77,64.69982934470286,64.69973144929523,64.68690488818174,0.11341164569918354,0.9801734653305209
1976,65.433918146001,68.70561405330106,67.04981376659028,21,67.19855760545181,67.19250111290413,67.17486276849642,0.9239163553044684,0.9796545519486208
1976,68.70561405330106,72.14089475596612,70.40230445491979,85,69.72721485277222,69.72640177680734,69.6628206488111,0.3415481262104168,0.9795130301171936
1976,72.14089475596612,75.74793949376442,73.92241967766577,1249,74.63515088167061,74.63506310935593,74.63873640944047,0.11350255673601987,0.9789402036566546
1976,75.74793949376442,79.53533646845264,77.61854066154906,3,77.12669428975515,77.12562418549702,77.12669428975514,0.4975915760629377,0.9705230242541463
1976,79.53533646845264,83.51210329187528,81.49946769462652,236,79.78543571948126,79.78264636314475,79.61465217006982,0.6755894942096569,0.9705028068496566
1976,83.51210329187528,87.68770845646905,85.57444107935785,78,84.8776399938124,84.8714475778423,84.59056793069918,1.037946549974895,0.9689123710298072
1976,87.68770845646905,92.0720938792925,89.85316313332575,307,89.64428302569672,89.6433334404198,89.56648369132856,0.41660167145952437,0.9683867185130773
1976,92.0720938792925,96.67569857325714,94.34582128999205,34,94.43995412747438,94.4378042235606,94.54239945195792,0.6456431829820921,0.966317804120307
1976,96.67569857325714,101.50948350191999,99.06311235449165,3166,99.51752937623847,99.51748783225989,99.51831521258728,0.09062843506501692,0.9660886735360914
1976,101.50948350191999,106.584957677016,104.01626797221624,78,104.30922897698814,104.30546669462942,104.49423097321664,0.8897899808142004,0.9447525726647213
1976,106.584957677016,111.9142055608668,109.21708137082705,195,109.27876535843717,109.27662034904692,109.47014673384601,0.6836029916155346,0.9442269201479914
1976,111.9142055608668,117.50991583891015,114.67793543936841,132,114.15957037492397,114.15426923416571,114.44606249447537,1.1034738143274891,0.9429127888561667
1976,117.50991583891015,123.38541163085567,120.41183221133684,359,119.4413829405222,119.4409218900552,119.42197825510473,0.33416115476273484,0.9420232230586237
1976,123.38541163085567,129.55468221239846,126.43242382190368,1370,124.81303793649316,124.80571037140915,124.3978940157341,1.3674728209138522,0.9396038736547002
1976,129.55468221239846,136.03241632301837,132.75404501299886,96,133.58260519056248,133.57573595528854,134.34972553699285,1.356320415598739,0.9303712589377776
1976,136.03241632301837,142.8340371391693,139.39174726364882,300,139.36378998512038,139.36144465082225,139.3256412976222,0.8104734931877856,0.92972430199411
1976,142.8340371391693,149.97573899612777,146.36133462683128,4214,149.2218568643661,149.22086504581344,149.27747281888094,0.5377439852912483,0.9277025615451489
1976,149.97573899612777,157.47452594593418,153.67940135817284,95,154.24291296738267,154.22958366651525,154.25338857951027,2.0361306795796317,0.8993038473720744
1976,157.47452594593418,165.3482522432309,161.3633714260815,872,161.37260016547492,161.3621947430038,162.7124453725802,1.8323942261449169,0.8986636295632366
1976,165.3482522432309,173.61566485539242,169.43153999738556,187,169.7585549630329,169.7456479822908,169.18113586139836,2.0988297569123278,0.8927871039915896
1976,173.61566485539242,182.29644809816207,177.90311699725484,1967,176.51978945651058,176.49868857750283,174.15705162202772,2.7356704716687092,0.8915268857784038
1976,182.29644809816207,191.41127050307017,186.7982728471176,3646,190.19243829813604,190.1829403822733,191.0751652081676,1.884730464306676,0.8782710075680484
1976,191.41127050307017,200.9818340282237,196.13818648947347,4671,198.67763157881785,198.67204608344736,199.03663042517456,1.475028652336658,0.8537001219783404
1976,200.9818340282237,211.03092572963487,205.94509581394718,361,207.27239127552374,207.25721486656832,208.9884619464333,2.502745197073448,0.8222216231880152
1976,211.03092572963487,221.58247201611664,216.24235060464454,324,215.68751890565102,215.6686722288097,213.96437770706265,2.858922691659799,0.8197887955144318
1976,221.58247201611664,232.66159561692248,227.05446813487677,1744,225.5467917152478,225.53177750741241,223.91620922832138,2.6143070725010493,0.8176053158295538
1976,232.66159561692248,244.2946753977686,238.40719154162062,972,238.69498619268447,238.68211138592375,238.84395651020947,2.4761887082016836,0.8058522646862596
1976,244.2946753977686,256.50940916765705,250.32755111870165,5118,248.8432332618548,248.84159580643683,248.7957880314682,0.9055610599615123,0.7993018256316254
1976,256.50940916765705,269.33487962603994,262.8439286746368,709,263.65756407478096,263.62677909444545,263.7235353133563,4.030216591411391,0.764810933572348
1976,269.33487962603994,282.8016236073419,275.9861251083686,1603,273.20633322798307,273.18864270598175,272.68018368248914,3.1235988552685026,0.7600328869779698
1976,282.8016236073419,296.94170478770906,289.78543136378704,581,288.43011325873255,288.4127371214709,288.60311411650315,3.1713526666093816,0.7492300538456873
1976,296.94170478770906,311.78879002709454,304.27470293197644,7305,299.15913965277616,299.15262457900496,298.5549456377619,1.9932571658645248,0.7453146165095325
1976,311.78879002709454,327.37822952844925,319.48843807857526,1401,321.5254918061205,321.5036393513072,323.43452444090866,3.7348162644038454,0.6960852365773282
1976,327.37822952844925,343.7471410048717,335.462859982504,861,337.0960427528155,337.0587157552443,338.3622717227967,5.006013743119592,0.6866437086806796
1976,343.7471410048717,360.93449805511534,352.23600298162927,4921,350.5196442839019,350.4983157941665,348.31410324405545,3.8784189615854068,0.680841313592161
1976,360.93449805511534,378.9812229578711,369.84780313071076,1908,372.5831674352718,372.5582596694122,373.1936820472023,4.2945068641705095,0.6476780310943681
1976,378.9812229578711,397.93028410576466,388.3401932872463,5481,383.2400205618348,383.2290006758468,382.1503304163352,2.924290512449567,0.6348197618389751
1976,397.93028410576466,417.8267983110529,407.7572029516086,6662,398.9480420780359,398.93575606921496,398.07326085034913,3.1624097657667503,0.5978825638364547
1976,417.8267983110529,438.71813822660556,428.14506309918903,1533,425.34471983875864,425.30399817805767,422.95283965349597,5.9088029931374715,0.5529864475998572
