year,bin_left,bin_right,bin_center_geo,N_bin,mean,geometric_mean,median,std,ccdf
1976,0.49759157606293647,0.5473507336692301,0.5218784477497388,10,0.4975915760629365,0.49759157606293647,0.49759157606293647,5.851389114294502e-17,1.0
1976,0.9696652130897956,1.0666317343987752,1.016993455251373,2,0.9951831521258729,0.9951831521258729,0.9951831521258729,0.0,0.9999326086517013
1976,2.766568018800211,3.0432248206802326,2.9016010171822275,4,2.9855494563776186,2.985549456377618,2.9855494563776186,0.0,0.9999191303820415
1976,4.901144005953723,5.391258406549096,5.140363199600367,8,4.975915760629364,4.9759157606293645,4.975915760629364,0.0,0.9998921738427221
1976,5.391258406549096,5.930384247204006,5.654399519560404,1,5.4735073366923,5.4735073366923,5.4735073366923,,0.9998382607640831
1976,5.930384247204006,6.523422671924408,6.219839471516445,1,5.971098912755237,5.971098912755237,5.971098912755237,,0.9998315216292533
1976,7.175764939116848,7.893341433028533,7.5260057605349,5,7.463873640944046,7.463873640944046,7.463873640944046,0.0,0.9998247824944234
1976,8.682675576331388,9.550943133964529,9.10646697024723,1,8.956648369132855,8.956648369132854,8.956648369132855,,0.9997910868202741
1976,9.550943133964529,10.506037447360981,10.017113667271955,32,9.967381258010693,9.967016578768053,9.951831521258727,0.08796259442385126,0.9997843476854441
1976,11.556641192097079,12.712305311306789,12.120707537399065,15,12.439789401573414,12.439789401573409,12.43978940157341,3.677408027917051e-15,0.9995686953708883
1976,12.712305311306789,13.98353584243747,13.332778291138975,4,13.434972553699282,13.42575473268018,13.434972553699282,0.5745692607728534,0.9994676083484402
1976,13.98353584243747,15.381889426681218,14.666056120252874,76,14.92774728188809,14.9277472818881,14.927747281888092,1.788160004724363e-15,0.9994406518091208
1976,15.381889426681218,16.92007836934934,16.132661732278162,3,16.254658151389254,16.252953970844615,16.4205220100769,0.28728463038642515,0.9989284775620506
1976,16.92007836934934,18.61208620628428,17.74592790550598,12,17.540103056218513,17.537663857776003,17.415705162202777,0.30929374834486506,0.998908260157561
1976,18.61208620628428,20.473294826912706,19.52052069605658,119,19.736405369891262,19.73281656972012,19.903663042517454,0.37369830313376123,0.9988273905396026
1976,20.473294826912706,22.520624309603978,21.47257276566224,10,21.794511031556617,21.785607305556262,21.8940293467692,0.6551097511505857,0.998025433494848
1976,22.520624309603978,24.772686740564378,23.619830042228465,2,23.386804074958015,23.381509948331047,23.386804074958015,0.7037007553908075,0.9979580421465493
1976,24.772686740564378,27.249955414620818,25.981813046451315,256,24.92817173049672,24.92660334675597,24.87957880314682,0.2865377227935483,0.9979445638768895
1976,27.249955414620818,29.974950956082903,28.579994351096445,178,29.710130732566785,29.704763053867342,29.855494563776183,0.5532468701811588,0.9962193453604427
1976,29.974950956082903,32.9724460516912,31.437993786206096,10,32.19417497127199,32.18702233581622,32.34345244409087,0.7056527723317408,0.9950197793607257
1976,32.9724460516912,36.26969065686032,34.581793164826706,77,34.805561411363335,34.805194823573174,34.83141032440555,0.15932960734497917,0.9949523880124269
1976,36.26969065686032,39.89665972254635,38.03997248130938,284,39.576051127146506,39.56987360416571,39.80732608503491,0.6890311559932227,0.9944334746305269
1976,39.89665972254635,43.88632569480099,41.84396972944032,24,41.85989133629452,41.85240992457967,42.29528396534959,0.8078579016914796,0.9925195603388437
1976,43.88632569480099,48.274958264281096,46.02836670238435,39,45.012899496154844,45.00650689919723,44.78324184566428,0.781327641856305,0.9923578211029268
1976,48.274958264281096,53.10245409070921,50.63120337262279,1229,49.76725510956561,49.76707444981556,49.75915760629364,0.13595594005117434,0.9920949948445619
1976,53.10245409070921,58.41269949978013,55.694323709885076,33,54.946172823434544,54.940514959770375,54.735073366923004,0.8064812756155052,0.983812598138651
1976,58.41269949978013,64.25396944975816,61.26375608087359,508,59.794247560555014,59.79246061264639,59.71098912755237,0.4691915516148725,0.9835902066892652
1976,64.25396944975816,70.67936639473398,67.39013168896096,179,67.26937736953631,67.22831762674235,67.17486276849642,2.354543442595894,0.980166726195691
1976,70.67936639473398,77.74730303420738,74.12914485785706,1255,74.63358207438964,74.63323076582219,74.63873640944047,0.22781950982870552,0.9789604210611441
1976,77.74730303420738,85.52203333762812,81.54205934364276,302,80.80755382924056,80.78255753240974,79.61465217006982,2.032957623458728,0.9705028068496566
1976,85.52203333762812,94.07423667139093,89.69626527800705,325,89.62007047644303,89.61652439371923,89.56648369132856,0.801785298742307,0.9684675881310357
1976,94.07423667139093,103.48166033853005,98.66589180580777,3202,99.4821069561155,99.48091222351783,99.51831521258728,0.4809158216886891,0.9662773693113278
