year,pareto_x_pmin,pareto_selection_alpha,pareto_selection_r2,pareto_selection_status,transition_x_t,transition_delta_x_t,transition_rule,pareto_population_n,pareto_population_pct,pareto_alpha_ls,pareto_beta_ls,pareto_ls_r2,pareto_ls_sse,pareto_alpha_mle,pareto_alpha_mle_fisher_se,pareto_beta_mle_continuity,cutoff_normalized,cutoff_income_adj,pareto_alpha,pareto_r2
1976,8.297519708778417,2.049596100226989,0.9923937141879524,earliest_tail_start_with_r2_ge_0.98,8.297519708778417,0.0,coincident_regime_bounds,1752,1.1806964221933187,2.049596100226989,83.19909152984464,0.9923937141879524,0.7128366804560434,2.156841408341754,0.051528934443629965,129.2228972038227,8.297519708778417,9126.822212281764,2.156841408341754,0.9923937141879524
1977,9.379553333695137,1.807343239742676,0.9522425579234828,fallback_highest_tail_r2,9.379553333695137,0.0,coincident_regime_bounds,1956,1.0136868453920262,1.807343239742676,51.33289703847763,0.9522425579234828,4.870045079968715,2.1540021922691004,0.04870367309720649,141.16156776088494,9.379553333695137,10465.572950844837,2.1540021922691004,0.9522425579234828
1978,8.993868302665566,2.3329578393575185,0.9828084608476997,earliest_tail_start_with_r2_ge_0.98,8.993868302665566,0.0,coincident_regime_bounds,2356,1.092283084911565,2.3329578393575185,164.71250930912157,0.9828084608476997,2.1403181774568925,2.5848912011630003,0.05325429321769519,366.9184480718776,8.993868302665566,10063.399481857967,2.5848912011630003,0.9828084608476997
1979,6.935027877303481,0.9539471829935033,0.3534494791526539,fallback_highest_tail_r2,6.935027877303481,0.0,coincident_regime_bounds,1748,1.0200092197629704,0.9539471829935033,6.392110916618058,0.3534494791526539,23.145744769511563,0.9131417615095891,0.021840747149503213,6.700259092173232,6.935027877303481,10543.205536930041,0.9131417615095891,0.3534494791526539
1981,7.371242712382564,3.2614364447545965,0.9791595269776886,fallback_highest_tail_r2,7.371242712382564,0.0,coincident_regime_bounds,5681,1.2030970059170094,3.2614364447545965,1210.2487513530123,0.9791595269776886,3.007782377205158,2.5583351172475193,0.03394259464239944,243.90447582527034,7.371242712382564,2496.4480721647988,2.5583351172475193,0.9791595269776886
1982,7.849559609203476,2.875419105934236,0.9963078235845513,earliest_tail_start_with_r2_ge_0.98,7.849559609203476,0.0,coincident_regime_bounds,2560,1.237641712393338,2.875419105934236,455.2882006757643,0.9963078235845513,0.4473184873540186,2.8848761334133064,0.05701737093153644,541.7818676264862,7.849559609203476,6359.905832690098,2.8848761334133064,0.9963078235845513
1983,7.96710960176985,2.776827850093007,0.9947365799996454,earliest_tail_start_with_r2_ge_0.98,7.96710960176985,0.0,coincident_regime_bounds,5176,1.035626678191415,2.776827850093007,385.84190169478046,0.9947365799996454,0.7982764604324448,2.4852918094311556,0.03454460687833887,218.44929341007548,7.96710960176985,1603.6136229100368,2.4852918094311556,0.9947365799996454
1984,7.82329475179977,3.3576735676892513,0.9953455544086959,earliest_tail_start_with_r2_ge_0.98,7.82329475179977,0.0,coincident_regime_bounds,5611,1.1121682424530732,3.3576735676892513,1523.663129205975,0.9953455544086959,0.5413711524483251,2.6645534899159746,0.0355716744163777,324.80344071925725,7.82329475179977,1360.435558330008,2.6645534899159746,0.9953455544086959
1985,7.72788415290446,2.8456555104657966,0.9884408834827723,earliest_tail_start_with_r2_ge_0.98,7.72788415290446,0.0,coincident_regime_bounds,6033,1.1734226480490608,2.8456555104657966,532.3840611677135,0.9884408834827723,1.7236653912595439,2.4328090674592624,0.03132141422962799,203.32090234939665,7.72788415290446,1468.312139045823,2.4328090674592624,0.9884408834827723
1986,7.218092203968127,2.1326803653865243,0.9754860241505304,fallback_highest_tail_r2,7.218092203968127,0.0,coincident_regime_bounds,3553,1.2504311224669356,2.1326803653865243,67.86447408669837,0.9754860241505304,2.5104553882693175,2.3455771802487635,0.039350669350102306,153.49949062927152,7.218092203968127,2043.3937586039283,2.3455771802487635,0.9754860241505304
